,Score,Localization,Dataset_Name,Type
AAAS,-0.6514489,Secretory,Glioma_Tumor_PD,Proteome
AACS,0.043798856,Cytosol,Glioma_Tumor_PD,Proteome
AAK1,-0.4635514,Cytosol,Glioma_Tumor_PD,Proteome
AASDHPPT,0.09155226,Cytosol,Glioma_Tumor_PD,Proteome
AATF,0.624041,Nucleus,Glioma_Tumor_PD,Proteome
ABCA2,-0.3980618,Secretory,Glioma_Tumor_PD,Proteome
ABCB10,0.5569284,Mitochondria,Glioma_Tumor_PD,Proteome
ABCB7,0.46496516,Mitochondria,Glioma_Tumor_PD,Proteome
ABCB8,0.4893905,Mitochondria,Glioma_Tumor_PD,Proteome
ABCC1,0.07611937,Secretory,Glioma_Tumor_PD,Proteome
ABCC4,-0.031122826,Secretory,Glioma_Tumor_PD,Proteome
ABCD1,0.08097349,Secretory,Glioma_Tumor_PD,Proteome
ABCD3,0.0039171134,Secretory,Glioma_Tumor_PD,Proteome
ABCD4,0.03965469,Secretory,Glioma_Tumor_PD,Proteome
ABHD12,0.02200302,Secretory,Glioma_Tumor_PD,Proteome
ABHD14B,-0.08503013,Cytosol,Glioma_Tumor_PD,Proteome
ABHD16A,-0.5235061,Secretory,Glioma_Tumor_PD,Proteome
ABHD17C,-0.48732352,Secretory,Glioma_Tumor_PD,Proteome
ABHD6,-0.27906853,Secretory,Glioma_Tumor_PD,Proteome
ABL1,-0.4246139,Cytosol,Glioma_Tumor_PD,Proteome
ABL2,-0.3443597,Cytosol,Glioma_Tumor_PD,Proteome
ABR,-0.48673892,Cytosol,Glioma_Tumor_PD,Proteome
ABRACL,-0.07910909,Cytosol,Glioma_Tumor_PD,Proteome
ACAD9,0.52003133,Mitochondria,Glioma_Tumor_PD,Proteome
ACAP2,-0.0844707,Cytosol,Glioma_Tumor_PD,Proteome
ACAT2,0.051815208,Cytosol,Glioma_Tumor_PD,Proteome
ACBD5,-0.36044133,Secretory,Glioma_Tumor_PD,Proteome
ACBD6,0.07367694,Cytosol,Glioma_Tumor_PD,Proteome
ACIN1,0.6804933,Nucleus,Glioma_Tumor_PD,Proteome
ACLY,-0.1555711,Cytosol,Glioma_Tumor_PD,Proteome
ACOT11,-0.086795114,Cytosol,Glioma_Tumor_PD,Proteome
ACP1,-0.14796692,Cytosol,Glioma_Tumor_PD,Proteome
ACSL1,0.08631335,Secretory,Glioma_Tumor_PD,Proteome
ACSL3,0.018649459,Secretory,Glioma_Tumor_PD,Proteome
ACSL4,0.08724195,Secretory,Glioma_Tumor_PD,Proteome
ACSS2,-0.009747041,Cytosol,Glioma_Tumor_PD,Proteome
ACTR10,-0.28658333,Cytosol,Glioma_Tumor_PD,Proteome
ACVR1,-0.41993648,Secretory,Glioma_Tumor_PD,Proteome
ACYP1,-0.47263083,Cytosol,Glioma_Tumor_PD,Proteome
ACYP2,-0.47100767,Cytosol,Glioma_Tumor_PD,Proteome
ADAM10,-0.3883391,Secretory,Glioma_Tumor_PD,Proteome
ADAM15,0.02605287,Secretory,Glioma_Tumor_PD,Proteome
ADAM9,0.01911179,Secretory,Glioma_Tumor_PD,Proteome
ADAR,0.66290104,Nucleus,Glioma_Tumor_PD,Proteome
ADARB1,-0.20661049,Nucleus,Glioma_Tumor_PD,Proteome
ADCK1,0.24159671,Mitochondria,Glioma_Tumor_PD,Proteome
ADCY6,0.030592794,Secretory,Glioma_Tumor_PD,Proteome
ADCY9,-0.45898983,Secretory,Glioma_Tumor_PD,Proteome
ADH5,0.0136504965,Cytosol,Glioma_Tumor_PD,Proteome
ADI1,-0.07774479,Cytosol,Glioma_Tumor_PD,Proteome
ADK,0.08352463,Cytosol,Glioma_Tumor_PD,Proteome
ADNP,0.6644344,Nucleus,Glioma_Tumor_PD,Proteome
ADO,-0.17366484,Cytosol,Glioma_Tumor_PD,Proteome
ADRM1,-0.3873644,Cytosol,Glioma_Tumor_PD,Proteome
ADSL,0.096658014,Cytosol,Glioma_Tumor_PD,Proteome
AFF4,0.6452925,Nucleus,Glioma_Tumor_PD,Proteome
AFG3L2,0.58185315,Mitochondria,Glioma_Tumor_PD,Proteome
AGFG1,-0.069008574,Cytosol,Glioma_Tumor_PD,Proteome
AGFG2,-0.17755595,Cytosol,Glioma_Tumor_PD,Proteome
AGGF1,0.6781152,Nucleus,Glioma_Tumor_PD,Proteome
AGK,0.5500853,Mitochondria,Glioma_Tumor_PD,Proteome
AGO2,0.53492314,Nucleus,Glioma_Tumor_PD,Proteome
AGPAT3,-0.07175165,Secretory,Glioma_Tumor_PD,Proteome
AGPAT5,0.19380398,Mitochondria,Glioma_Tumor_PD,Proteome
AGRN,-0.20801067,Secretory,Glioma_Tumor_PD,Proteome
AHCTF1,0.22281666,Nucleus,Glioma_Tumor_PD,Proteome
AHCY,-0.007416013,Cytosol,Glioma_Tumor_PD,Proteome
AHCYL1,-0.2710744,Cytosol,Glioma_Tumor_PD,Proteome
AHCYL2,-0.19397928,Cytosol,Glioma_Tumor_PD,Proteome
AHDC1,0.67285365,Nucleus,Glioma_Tumor_PD,Proteome
AHSA1,-0.12964125,Cytosol,Glioma_Tumor_PD,Proteome
AIFM1,0.5278836,Mitochondria,Glioma_Tumor_PD,Proteome
AIP,-0.47709793,Cytosol,Glioma_Tumor_PD,Proteome
AJUBA,-0.046392012,Cytosol,Glioma_Tumor_PD,Proteome
AK1,-0.16899793,Cytosol,Glioma_Tumor_PD,Proteome
AK2,-0.41098076,Nucleus,Glioma_Tumor_PD,Proteome
AKAP1,0.24167082,Mitochondria,Glioma_Tumor_PD,Proteome
AKAP12,-0.06209309,Cytosol,Glioma_Tumor_PD,Proteome
AKAP17A,0.6798339,Nucleus,Glioma_Tumor_PD,Proteome
AKAP8L,0.65691185,Nucleus,Glioma_Tumor_PD,Proteome
AKR1A1,-0.018139493,Cytosol,Glioma_Tumor_PD,Proteome
AKT1,0.032684006,Cytosol,Glioma_Tumor_PD,Proteome
AKT2,0.0024461448,Cytosol,Glioma_Tumor_PD,Proteome
AKTIP,-0.3368664,Cytosol,Glioma_Tumor_PD,Proteome
ALCAM,-0.16413249,Secretory,Glioma_Tumor_PD,Proteome
ALDH1A3,-0.067578636,Cytosol,Glioma_Tumor_PD,Proteome
ALDH3A2,-0.013170005,Secretory,Glioma_Tumor_PD,Proteome
ALDH9A1,-0.24300818,Cytosol,Glioma_Tumor_PD,Proteome
ALDOA,-0.4795084,Cytosol,Glioma_Tumor_PD,Proteome
ALG1,0.024805509,Secretory,Glioma_Tumor_PD,Proteome
ALG11,-0.08195204,Secretory,Glioma_Tumor_PD,Proteome
ALG3,-0.04691477,Secretory,Glioma_Tumor_PD,Proteome
ALG5,0.05404658,Secretory,Glioma_Tumor_PD,Proteome
ALG6,-0.03857206,Secretory,Glioma_Tumor_PD,Proteome
ALKBH6,-0.11590087,Cytosol,Glioma_Tumor_PD,Proteome
ALKBH8,-0.41906253,Cytosol,Glioma_Tumor_PD,Proteome
AMDHD2,-0.08821724,Cytosol,Glioma_Tumor_PD,Proteome
AMFR,0.004254162,Secretory,Glioma_Tumor_PD,Proteome
AMOTL2,0.04157692,Cytosol,Glioma_Tumor_PD,Proteome
AMPD2,-0.06917464,Cytosol,Glioma_Tumor_PD,Proteome
ANKLE2,-0.4485643,Secretory,Glioma_Tumor_PD,Proteome
ANKMY2,-0.08221397,Cytosol,Glioma_Tumor_PD,Proteome
ANKRD46,-0.39622632,Secretory,Glioma_Tumor_PD,Proteome
ANKRD54,0.030958291,Cytosol,Glioma_Tumor_PD,Proteome
ANKS1A,-0.06178219,Cytosol,Glioma_Tumor_PD,Proteome
ANO10,0.0380935,Secretory,Glioma_Tumor_PD,Proteome
ANO6,0.020562273,Secretory,Glioma_Tumor_PD,Proteome
ANO8,-0.22421242,Secretory,Glioma_Tumor_PD,Proteome
ANXA1,-0.07368899,Cytosol,Glioma_Tumor_PD,Proteome
ANXA11,-0.09299095,Cytosol,Glioma_Tumor_PD,Proteome
ANXA5,-0.05050889,Cytosol,Glioma_Tumor_PD,Proteome
AP1AR,-0.11434804,Secretory,Glioma_Tumor_PD,Proteome
AP2A1,-0.50183505,Secretory,Glioma_Tumor_PD,Proteome
AP2A2,-0.46052387,Secretory,Glioma_Tumor_PD,Proteome
AP2M1,-0.465523,Secretory,Glioma_Tumor_PD,Proteome
AP3B1,-0.067073494,Cytosol,Glioma_Tumor_PD,Proteome
AP3D1,-0.47671977,Cytosol,Glioma_Tumor_PD,Proteome
AP3M2,-0.48619497,Cytosol,Glioma_Tumor_PD,Proteome
AP4E1,-0.07705364,Cytosol,Glioma_Tumor_PD,Proteome
APLP2,-0.5646806,Secretory,Glioma_Tumor_PD,Proteome
APMAP,0.029483646,Secretory,Glioma_Tumor_PD,Proteome
APOO,0.59245914,Mitochondria,Glioma_Tumor_PD,Proteome
APOOL,0.46699783,Mitochondria,Glioma_Tumor_PD,Proteome
APP,-0.47254485,Secretory,Glioma_Tumor_PD,Proteome
APPL1,0.04087729,Cytosol,Glioma_Tumor_PD,Proteome
APRT,-0.07222513,Cytosol,Glioma_Tumor_PD,Proteome
ARAP1,-0.090616085,Cytosol,Glioma_Tumor_PD,Proteome
ARCN1,-0.04950186,Cytosol,Glioma_Tumor_PD,Proteome
ARFGEF2,-0.4362764,Cytosol,Glioma_Tumor_PD,Proteome
ARFRP1,0.0039662197,Secretory,Glioma_Tumor_PD,Proteome
ARHGAP12,-0.030282829,Cytosol,Glioma_Tumor_PD,Proteome
ARHGAP17,-0.075256124,Cytosol,Glioma_Tumor_PD,Proteome
ARHGAP35,-0.18242739,Cytosol,Glioma_Tumor_PD,Proteome
ARHGAP39,-0.42850024,Secretory,Glioma_Tumor_PD,Proteome
ARHGAP5,-0.07432097,Cytosol,Glioma_Tumor_PD,Proteome
ARHGDIA,-0.54616165,Cytosol,Glioma_Tumor_PD,Proteome
ARHGDIB,-0.08489891,Cytosol,Glioma_Tumor_PD,Proteome
ARHGEF10,-0.071967565,Cytosol,Glioma_Tumor_PD,Proteome
ARHGEF10L,-0.042087354,Cytosol,Glioma_Tumor_PD,Proteome
ARHGEF40,-0.02085661,Secretory,Glioma_Tumor_PD,Proteome
ARHGEF7,-0.4007703,Cytosol,Glioma_Tumor_PD,Proteome
ARID1B,0.5983482,Nucleus,Glioma_Tumor_PD,Proteome
ARIH1,0.043286204,Cytosol,Glioma_Tumor_PD,Proteome
ARIH2,-0.66155833,Cytosol,Glioma_Tumor_PD,Proteome
ARL15,-0.5640348,Secretory,Glioma_Tumor_PD,Proteome
ARL6,-0.49431285,Cytosol,Glioma_Tumor_PD,Proteome
ARL6IP5,0.058701016,Secretory,Glioma_Tumor_PD,Proteome
ARL8A,-0.34426075,Secretory,Glioma_Tumor_PD,Proteome
ARL8B,-0.37457657,Secretory,Glioma_Tumor_PD,Proteome
ARMC10,0.49497572,Mitochondria,Glioma_Tumor_PD,Proteome
ARMC6,-0.44015935,Cytosol,Glioma_Tumor_PD,Proteome
ARMCX3,0.40613312,Mitochondria,Glioma_Tumor_PD,Proteome
ARPC5,-0.080531,Cytosol,Glioma_Tumor_PD,Proteome
ARV1,0.06847639,Secretory,Glioma_Tumor_PD,Proteome
ASAH1,-0.31895846,Secretory,Glioma_Tumor_PD,Proteome
ASAP1,-0.5021249,Cytosol,Glioma_Tumor_PD,Proteome
ASH2L,0.6766438,Nucleus,Glioma_Tumor_PD,Proteome
ASMTL,0.04165167,Cytosol,Glioma_Tumor_PD,Proteome
ASPH,0.07739168,Secretory,Glioma_Tumor_PD,Proteome
ASPSCR1,-0.060503498,Cytosol,Glioma_Tumor_PD,Proteome
ASS1,-0.08910436,Cytosol,Glioma_Tumor_PD,Proteome
ATAD1,0.5606088,Mitochondria,Glioma_Tumor_PD,Proteome
ATAD2,0.61271274,Nucleus,Glioma_Tumor_PD,Proteome
ATAD3A,0.5032916,Mitochondria,Glioma_Tumor_PD,Proteome
ATAD3B,0.44629216,Mitochondria,Glioma_Tumor_PD,Proteome
ATE1,-0.29476124,Cytosol,Glioma_Tumor_PD,Proteome
ATG12,-0.048238527,Cytosol,Glioma_Tumor_PD,Proteome
