,Score,Localization,Dataset_Name,Type
AAAS,-0.39306352,Secretory,Lung_NAT_PD,Proteome
AACS,-0.20360826,Cytosol,Lung_NAT_PD,Proteome
AAK1,-0.2630364,Cytosol,Lung_NAT_PD,Proteome
AASDHPPT,-0.29384273,Cytosol,Lung_NAT_PD,Proteome
AATF,0.29730913,Nucleus,Lung_NAT_PD,Proteome
ABCB10,0.46807727,Mitochondria,Lung_NAT_PD,Proteome
ABCB7,0.4680065,Mitochondria,Lung_NAT_PD,Proteome
ABCB8,0.40166333,Mitochondria,Lung_NAT_PD,Proteome
ABCC1,-0.33172822,Secretory,Lung_NAT_PD,Proteome
ABCC10,-0.41006714,Secretory,Lung_NAT_PD,Proteome
ABCC3,-0.08102113,Secretory,Lung_NAT_PD,Proteome
ABCC4,-0.02761051,Secretory,Lung_NAT_PD,Proteome
ABCC5,-0.3335009,Secretory,Lung_NAT_PD,Proteome
ABCD1,-0.31948045,Secretory,Lung_NAT_PD,Proteome
ABCD3,-0.30477047,Secretory,Lung_NAT_PD,Proteome
ABCD4,0.0031480948,Secretory,Lung_NAT_PD,Proteome
ABHD12,-0.30694842,Secretory,Lung_NAT_PD,Proteome
ABHD14B,0.16780928,Cytosol,Lung_NAT_PD,Proteome
ABHD16A,-0.35329562,Secretory,Lung_NAT_PD,Proteome
ABHD17C,-0.29673353,Secretory,Lung_NAT_PD,Proteome
ABHD6,-0.3333647,Secretory,Lung_NAT_PD,Proteome
ABL1,-0.20143731,Cytosol,Lung_NAT_PD,Proteome
ABL2,0.04283842,Cytosol,Lung_NAT_PD,Proteome
ABR,-0.46318227,Cytosol,Lung_NAT_PD,Proteome
ABRACL,-0.2413825,Cytosol,Lung_NAT_PD,Proteome
ABT1,0.43500122,Nucleus,Lung_NAT_PD,Proteome
ACAD9,0.45263898,Mitochondria,Lung_NAT_PD,Proteome
ACAP2,-0.30643952,Cytosol,Lung_NAT_PD,Proteome
ACAT2,-0.41049117,Cytosol,Lung_NAT_PD,Proteome
ACBD5,-0.2975562,Secretory,Lung_NAT_PD,Proteome
ACBD6,-0.23328876,Cytosol,Lung_NAT_PD,Proteome
ACIN1,0.35513204,Nucleus,Lung_NAT_PD,Proteome
ACLY,-0.41660306,Cytosol,Lung_NAT_PD,Proteome
ACOT11,-0.383707,Cytosol,Lung_NAT_PD,Proteome
ACP1,-0.017838536,Cytosol,Lung_NAT_PD,Proteome
ACSL1,-0.37921077,Secretory,Lung_NAT_PD,Proteome
ACSL3,-0.40665096,Secretory,Lung_NAT_PD,Proteome
ACSL4,-0.34654287,Secretory,Lung_NAT_PD,Proteome
ACSS2,-0.53145564,Cytosol,Lung_NAT_PD,Proteome
ACTR10,0.11464049,Cytosol,Lung_NAT_PD,Proteome
