,Score,Localization,Dataset_Name,Type
AAAS,-0.64889336,Secretory,Lung_Tumor_PD,Proteome
AACS,-0.10786425,Cytosol,Lung_Tumor_PD,Proteome
AAK1,-0.09026506,Cytosol,Lung_Tumor_PD,Proteome
AASDHPPT,-0.44352525,Cytosol,Lung_Tumor_PD,Proteome
AATF,0.30099463,Nucleus,Lung_Tumor_PD,Proteome
ABCB10,0.43029407,Mitochondria,Lung_Tumor_PD,Proteome
ABCB7,0.41007102,Mitochondria,Lung_Tumor_PD,Proteome
ABCB8,0.15646556,Mitochondria,Lung_Tumor_PD,Proteome
ABCC1,-0.47937492,Secretory,Lung_Tumor_PD,Proteome
ABCC10,0.18967044,Secretory,Lung_Tumor_PD,Proteome
ABCC3,-0.49017483,Secretory,Lung_Tumor_PD,Proteome
ABCC4,-0.40301746,Secretory,Lung_Tumor_PD,Proteome
ABCC5,-0.46578765,Secretory,Lung_Tumor_PD,Proteome
ABCD1,0.24332885,Secretory,Lung_Tumor_PD,Proteome
ABCD3,0.17245981,Secretory,Lung_Tumor_PD,Proteome
ABCD4,0.15078703,Secretory,Lung_Tumor_PD,Proteome
ABHD12,0.2100051,Secretory,Lung_Tumor_PD,Proteome
ABHD14B,-0.1255637,Cytosol,Lung_Tumor_PD,Proteome
ABHD16A,0.24052648,Secretory,Lung_Tumor_PD,Proteome
ABHD17C,0.18214154,Secretory,Lung_Tumor_PD,Proteome
ABHD6,0.21671255,Secretory,Lung_Tumor_PD,Proteome
ABL1,-0.050879948,Cytosol,Lung_Tumor_PD,Proteome
ABL2,-0.49433187,Cytosol,Lung_Tumor_PD,Proteome
ABR,-0.087026425,Cytosol,Lung_Tumor_PD,Proteome
ABRACL,-0.23680253,Cytosol,Lung_Tumor_PD,Proteome
ABT1,0.38835278,Nucleus,Lung_Tumor_PD,Proteome
ACAD9,0.3735434,Mitochondria,Lung_Tumor_PD,Proteome
ACAP2,-0.46346787,Cytosol,Lung_Tumor_PD,Proteome
ACAT2,-0.4344028,Cytosol,Lung_Tumor_PD,Proteome
ACBD5,0.20238446,Secretory,Lung_Tumor_PD,Proteome
ACBD6,-0.37569675,Cytosol,Lung_Tumor_PD,Proteome
ACIN1,0.53292656,Nucleus,Lung_Tumor_PD,Proteome
ACLY,-0.58449525,Cytosol,Lung_Tumor_PD,Proteome
ACOT11,-0.08825425,Cytosol,Lung_Tumor_PD,Proteome
ACP1,-0.5479377,Cytosol,Lung_Tumor_PD,Proteome
ACSL1,0.13966464,Secretory,Lung_Tumor_PD,Proteome
ACSL3,0.21277253,Secretory,Lung_Tumor_PD,Proteome
ACSL4,0.11804118,Secretory,Lung_Tumor_PD,Proteome
ACSS2,-0.1854553,Cytosol,Lung_Tumor_PD,Proteome
ACTR10,-0.09382592,Cytosol,Lung_Tumor_PD,Proteome
ACVR1,0.09109183,Secretory,Lung_Tumor_PD,Proteome
ACYP1,-0.5786467,Cytosol,Lung_Tumor_PD,Proteome
ACYP2,-0.17592339,Cytosol,Lung_Tumor_PD,Proteome
ADAM10,0.15222809,Secretory,Lung_Tumor_PD,Proteome
ADAM15,0.16496289,Secretory,Lung_Tumor_PD,Proteome
ADAM9,0.19442727,Secretory,Lung_Tumor_PD,Proteome
ADAR,0.1512096,Nucleus,Lung_Tumor_PD,Proteome
ADARB1,-0.499851,Nucleus,Lung_Tumor_PD,Proteome
ADAT2,-0.66429114,Cytosol,Lung_Tumor_PD,Proteome
ADAT3,-0.6463644,Cytosol,Lung_Tumor_PD,Proteome
ADCY3,-0.56007636,Secretory,Lung_Tumor_PD,Proteome
ADCY6,0.05116202,Secretory,Lung_Tumor_PD,Proteome
ADCY9,0.05672719,Secretory,Lung_Tumor_PD,Proteome
ADH5,-0.047487948,Cytosol,Lung_Tumor_PD,Proteome
ADI1,-0.47862712,Cytosol,Lung_Tumor_PD,Proteome
ADK,-0.20332657,Cytosol,Lung_Tumor_PD,Proteome
ADNP,0.51904446,Nucleus,Lung_Tumor_PD,Proteome
ADNP2,0.51783395,Nucleus,Lung_Tumor_PD,Proteome
ADO,-0.055106513,Cytosol,Lung_Tumor_PD,Proteome
ADRM1,-0.3844224,Cytosol,Lung_Tumor_PD,Proteome
ADSL,-0.39198554,Cytosol,Lung_Tumor_PD,Proteome
AFF4,0.4888996,Nucleus,Lung_Tumor_PD,Proteome
AFG3L2,0.34848,Mitochondria,Lung_Tumor_PD,Proteome
AGFG1,-0.08692467,Cytosol,Lung_Tumor_PD,Proteome
AGFG2,-0.15545826,Cytosol,Lung_Tumor_PD,Proteome
