,Score,Localization,Dataset_Name,Type
AAAS,-0.6675331,Secretory,Krug_Breast_PD,Proteome
AACS,-0.36647317,Cytosol,Krug_Breast_PD,Proteome
AAK1,0.4040952,Cytosol,Krug_Breast_PD,Proteome
AASDHPPT,0.19135632,Cytosol,Krug_Breast_PD,Proteome
AATF,0.5318419,Nucleus,Krug_Breast_PD,Proteome
ABCB10,-0.513828,Mitochondria,Krug_Breast_PD,Proteome
ABCB7,-0.51560193,Mitochondria,Krug_Breast_PD,Proteome
ABCB8,-0.5812622,Mitochondria,Krug_Breast_PD,Proteome
ABCC1,0.40756154,Secretory,Krug_Breast_PD,Proteome
ABCD1,0.3788919,Secretory,Krug_Breast_PD,Proteome
ABCD3,0.4533614,Secretory,Krug_Breast_PD,Proteome
ABHD12,0.45649874,Secretory,Krug_Breast_PD,Proteome
ABHD14B,0.3552573,Cytosol,Krug_Breast_PD,Proteome
ABHD16A,0.46236837,Secretory,Krug_Breast_PD,Proteome
ABL1,0.3142288,Cytosol,Krug_Breast_PD,Proteome
ABL2,-0.4269904,Cytosol,Krug_Breast_PD,Proteome
ABR,0.37612566,Cytosol,Krug_Breast_PD,Proteome
ABRACL,0.2680534,Cytosol,Krug_Breast_PD,Proteome
ABT1,0.47278193,Nucleus,Krug_Breast_PD,Proteome
ACAD9,0.27889472,Mitochondria,Krug_Breast_PD,Proteome
ACAP2,0.4582364,Cytosol,Krug_Breast_PD,Proteome
ACAT2,0.1257538,Cytosol,Krug_Breast_PD,Proteome
ACBD5,0.46677664,Secretory,Krug_Breast_PD,Proteome
ACBD6,-0.0077474173,Cytosol,Krug_Breast_PD,Proteome
ACIN1,0.5316223,Nucleus,Krug_Breast_PD,Proteome
ACLY,-0.43157676,Cytosol,Krug_Breast_PD,Proteome
ACOT11,-0.030651124,Cytosol,Krug_Breast_PD,Proteome
ACP1,0.4194899,Cytosol,Krug_Breast_PD,Proteome
ACSL1,-0.2972679,Secretory,Krug_Breast_PD,Proteome
ACSL3,0.42733085,Secretory,Krug_Breast_PD,Proteome
ACSL4,-0.18358038,Secretory,Krug_Breast_PD,Proteome
ACSS2,0.42316163,Cytosol,Krug_Breast_PD,Proteome
ACTR10,-0.3495933,Cytosol,Krug_Breast_PD,Proteome
ACVR1,0.3932592,Secretory,Krug_Breast_PD,Proteome
ACYP1,0.33187568,Cytosol,Krug_Breast_PD,Proteome
ACYP2,-0.102520674,Cytosol,Krug_Breast_PD,Proteome
ADAM10,0.44383898,Secretory,Krug_Breast_PD,Proteome
ADAM15,0.4486484,Secretory,Krug_Breast_PD,Proteome
ADAM9,0.37745515,Secretory,Krug_Breast_PD,Proteome
ADAR,0.59311616,Nucleus,Krug_Breast_PD,Proteome
ADARB1,-0.50621986,Nucleus,Krug_Breast_PD,Proteome
ADAT2,-0.4139331,Cytosol,Krug_Breast_PD,Proteome
ADCK1,-0.30229035,Mitochondria,Krug_Breast_PD,Proteome
ADCY6,0.3993091,Secretory,Krug_Breast_PD,Proteome
ADH5,0.35998437,Cytosol,Krug_Breast_PD,Proteome
ADI1,0.2181677,Cytosol,Krug_Breast_PD,Proteome
ADK,0.42241094,Cytosol,Krug_Breast_PD,Proteome
ADNP,0.604574,Nucleus,Krug_Breast_PD,Proteome
ADNP2,0.54620004,Nucleus,Krug_Breast_PD,Proteome
ADO,0.34263948,Cytosol,Krug_Breast_PD,Proteome
ADRM1,-0.30020842,Cytosol,Krug_Breast_PD,Proteome
ADSL,-0.22914957,Cytosol,Krug_Breast_PD,Proteome
AFF4,0.5730792,Nucleus,Krug_Breast_PD,Proteome
AFG3L2,-0.5025212,Mitochondria,Krug_Breast_PD,Proteome
AGFG1,0.39640272,Cytosol,Krug_Breast_PD,Proteome
AGFG2,0.33710468,Cytosol,Krug_Breast_PD,Proteome
AGGF1,-0.34450912,Nucleus,Krug_Breast_PD,Proteome
AGK,0.2925036,Mitochondria,Krug_Breast_PD,Proteome
AGO2,0.4306191,Nucleus,Krug_Breast_PD,Proteome
AGPAT3,0.46876398,Secretory,Krug_Breast_PD,Proteome
AGPAT5,-0.53516924,Mitochondria,Krug_Breast_PD,Proteome
AGRN,-0.21979906,Secretory,Krug_Breast_PD,Proteome
AHCTF1,0.5806003,Nucleus,Krug_Breast_PD,Proteome
AHCY,-0.13925754,Cytosol,Krug_Breast_PD,Proteome
AHCYL1,0.29420027,Cytosol,Krug_Breast_PD,Proteome
AHCYL2,0.41460928,Cytosol,Krug_Breast_PD,Proteome
AHDC1,-0.4913317,Nucleus,Krug_Breast_PD,Proteome
AHSA1,-0.121679544,Cytosol,Krug_Breast_PD,Proteome
AIFM1,0.26318222,Mitochondria,Krug_Breast_PD,Proteome
AIP,0.32617605,Cytosol,Krug_Breast_PD,Proteome
AJUBA,0.1823998,Cytosol,Krug_Breast_PD,Proteome
AK1,0.377402,Cytosol,Krug_Breast_PD,Proteome
AK2,-0.3413236,Nucleus,Krug_Breast_PD,Proteome
AKAP1,-0.07391128,Mitochondria,Krug_Breast_PD,Proteome
AKAP12,0.27710178,Cytosol,Krug_Breast_PD,Proteome
AKAP17A,0.59743476,Nucleus,Krug_Breast_PD,Proteome
AKAP8L,0.62475747,Nucleus,Krug_Breast_PD,Proteome
AKR1A1,0.441702,Cytosol,Krug_Breast_PD,Proteome
AKT1,0.44830954,Cytosol,Krug_Breast_PD,Proteome
AKT2,0.41423523,Cytosol,Krug_Breast_PD,Proteome
AKTIP,0.46378013,Cytosol,Krug_Breast_PD,Proteome
ALCAM,0.4233411,Secretory,Krug_Breast_PD,Proteome
ALDH1A3,0.20061459,Cytosol,Krug_Breast_PD,Proteome
ALDH3A2,0.4389675,Secretory,Krug_Breast_PD,Proteome
ALDH9A1,0.31924722,Cytosol,Krug_Breast_PD,Proteome
