,Score,Localization,Dataset_Name,Type
AAAS,-0.549754,Secretory,Mertins_Breast_PD,Proteome
AACS,-0.5089785,Cytosol,Mertins_Breast_PD,Proteome
AAK1,0.3296129,Cytosol,Mertins_Breast_PD,Proteome
AASDHPPT,0.21984915,Cytosol,Mertins_Breast_PD,Proteome
AATF,0.40639064,Nucleus,Mertins_Breast_PD,Proteome
ABCB7,-0.106257714,Mitochondria,Mertins_Breast_PD,Proteome
ABCC1,0.22563136,Secretory,Mertins_Breast_PD,Proteome
ABCD1,0.20659177,Secretory,Mertins_Breast_PD,Proteome
ABCD3,0.091545284,Secretory,Mertins_Breast_PD,Proteome
ABHD12,0.20037004,Secretory,Mertins_Breast_PD,Proteome
ABHD14B,0.18503365,Cytosol,Mertins_Breast_PD,Proteome
ABHD16A,0.2335446,Secretory,Mertins_Breast_PD,Proteome
ABL1,-0.39371642,Cytosol,Mertins_Breast_PD,Proteome
ABR,0.26615486,Cytosol,Mertins_Breast_PD,Proteome
ABRACL,0.28700572,Cytosol,Mertins_Breast_PD,Proteome
ABT1,0.43357283,Nucleus,Mertins_Breast_PD,Proteome
ACAD9,0.03699222,Mitochondria,Mertins_Breast_PD,Proteome
ACAP2,0.314343,Cytosol,Mertins_Breast_PD,Proteome
ACAT2,0.122263,Cytosol,Mertins_Breast_PD,Proteome
ACBD5,-0.051725265,Secretory,Mertins_Breast_PD,Proteome
ACBD6,0.32394123,Cytosol,Mertins_Breast_PD,Proteome
ACIN1,0.23858091,Nucleus,Mertins_Breast_PD,Proteome
ACLY,-0.27354547,Cytosol,Mertins_Breast_PD,Proteome
ACOT11,-0.22562492,Cytosol,Mertins_Breast_PD,Proteome
ACP1,0.18202199,Cytosol,Mertins_Breast_PD,Proteome
ACSL1,-0.471889,Secretory,Mertins_Breast_PD,Proteome
ACSL3,0.2516316,Secretory,Mertins_Breast_PD,Proteome
ACSL4,-0.4526607,Secretory,Mertins_Breast_PD,Proteome
ACSS2,0.18705699,Cytosol,Mertins_Breast_PD,Proteome
ACTR10,-0.47197467,Cytosol,Mertins_Breast_PD,Proteome
ACYP1,0.22736636,Cytosol,Mertins_Breast_PD,Proteome
ACYP2,0.2757474,Cytosol,Mertins_Breast_PD,Proteome
ADAM10,0.17640376,Secretory,Mertins_Breast_PD,Proteome
ADAM15,0.25423235,Secretory,Mertins_Breast_PD,Proteome
ADAR,0.4452538,Nucleus,Mertins_Breast_PD,Proteome
ADARB1,-0.4340493,Nucleus,Mertins_Breast_PD,Proteome
ADH5,0.27486968,Cytosol,Mertins_Breast_PD,Proteome
ADI1,-0.14451216,Cytosol,Mertins_Breast_PD,Proteome
ADK,0.22380972,Cytosol,Mertins_Breast_PD,Proteome
ADNP,0.3900571,Nucleus,Mertins_Breast_PD,Proteome
ADO,-0.48388928,Cytosol,Mertins_Breast_PD,Proteome
ADRM1,-0.44657186,Cytosol,Mertins_Breast_PD,Proteome
