Protein	Localization
MARC1	Unclassified
MARC2	Mitochondria
MARS2	Mitochondria
MARCH5	Mitochondria
MARCH6	Secretory
MARCH7	Secretory
MARCH8	Secretory
SEPT2	Cytosol
SEPT3	Cytosol
SEPT5	Cytosol
SEPT7	Cytosol
SEPT8	Cytosol
SEPT9	Cytosol
SEPT10	Cytosol
SEPT11	Cytosol
A1BG	Unclassified
A2M	Cytosol
A2ML1	Nuclear
A4GALT	Secretory
AAAS	Secretory
AACS	Cytosol
AADAT	Mitochondria
AAED1	Unclassified
AAGAB	Cytosol
AAK1	Cytosol
AAMDC	Cytosol
AAMP	Cytosol
AAR2	Cytosol
AARS	Cytosol
AARS2	Mitochondria
AARSD1	Cytosol
AASDH	Cytosol
AASDHPPT	Cytosol
AASS	Mitochondria
AATF	Nuclear
ABCA1	Secretory
ABCA12	Secretory
ABCA2	Secretory
ABCA7	Secretory
ABCB10	Mitochondria
ABCB7	Mitochondria
ABCB8	Mitochondria
ABCB9	Cytosol
ABCC1	Secretory
ABCC10	Secretory
ABCC2	Secretory
ABCC3	Secretory
ABCC4	Unclassified
ABCC5	Secretory
ABCD1	Secretory
ABCD3	Secretory
ABCD4	Secretory
ABCE1	Cytosol
ABCF1	Cytosol
ABCF2	Nuclear
ABCF3	Cytosol
ABCG2	Secretory
ABHD10	Mitochondria
ABHD11	Mitochondria
ABHD12	Secretory
ABHD13	Secretory
ABHD14B	Cytosol
ABHD15	Secretory
ABHD16A	Secretory
ABHD17A	Secretory
ABHD17B	Secretory
ABHD17C	Secretory
ABHD2	Unclassified
ABHD3	Secretory
ABHD4	Cytosol
ABHD5	Secretory
ABHD6	Secretory
ABI1	Cytosol
ABI2	Cytosol
ABI3BP	Cytosol
ABL1	Cytosol
ABL2	Cytosol
ABLIM1	Cytosol
ABLIM2	Nuclear
ABLIM3	Secretory
ABR	Cytosol
ABRACL	Cytosol
ABT1	Nuclear
ABTB1	Cytosol
ABTB2	Cytosol
ACAA1	Secretory
ACAA2	Mitochondria
ACACA	Cytosol
ACAD10	Mitochondria
ACAD11	Secretory
ACAD8	Mitochondria
ACAD9	Mitochondria
ACADL	Cytosol
ACADM	Mitochondria
ACADSB	Mitochondria
ACADVL	Mitochondria
ACAN	Unclassified
ACAP2	Cytosol
ACAP3	Cytosol
ACAT1	Mitochondria
ACAT2	Cytosol
ACBD3	Nuclear
ACBD4	Secretory
ACBD5	Secretory
ACBD6	Cytosol
ACCS	Cytosol
ACD	Cytosol
ACE2	Secretory
ACIN1	Nuclear
ACLY	Cytosol
ACN9	Mitochondria
ACO1	Cytosol
ACO2	Mitochondria
ACOT1	Mitochondria
ACOT11	Cytosol
ACOT13	Mitochondria
ACOT2	Mitochondria
ACOT4	Secretory
ACOT7	Cytosol
ACOT8	Secretory
ACOT9	Mitochondria
ACOX1	Secretory
ACOX3	Secretory
ACP1	Cytosol
ACP2	Secretory
ACPL2	Secretory
ACPP	Secretory
ACSF2	Mitochondria
ACSF3	Mitochondria
ACSL1	Secretory
ACSL3	Secretory
ACSL4	Secretory
ACSS2	Cytosol
ACTA1	Secretory
ACTBL2	Cytosol
ACTG1	Cytosol
ACTG2	Cytosol
ACTL6A	Cytosol
ACTN1	Cytosol
ACTN2	Cytosol
ACTN3	Cytosol
ACTN4	Nuclear
ACTR10	Cytosol
ACTR1A	Cytosol
ACTR1B	Cytosol
ACTR2	Cytosol
ACTR3	Cytosol
ACTR3B	Cytosol
ACTR5	Cytosol
ACTR6	Cytosol
ACTR8	Nuclear
ACVR1	Secretory
ACVR1B	Secretory
ACVR2A	Secretory
ACVR2B	Secretory
ACY1	Cytosol
ACYP1	Cytosol
ACYP2	Cytosol
ADA	Cytosol
ADAL	Cytosol
ADAM10	Secretory
ADAM15	Secretory
ADAM17	Secretory
ADAM19	Secretory
ADAM28	Secretory
ADAM9	Secretory
ADAMDEC1	Unclassified
ADAMTS1	Unclassified
ADAMTSL3	Secretory
ADAMTSL4	Cytosol
ADAP1	Nuclear
ADAP2	Cytosol
ADAR	Nuclear
ADARB1	Nuclear
ADAT1	Cytosol
ADAT2	Cytosol
ADAT3	Cytosol
ADCK1	Mitochondria
ADCK2	Mitochondria
ADCK3	Mitochondria
ADCK4	Mitochondria
ADCK5	Mitochondria
ADCY10	Cytosol
ADCY3	Secretory
ADCY6	Secretory
ADCY7	Secretory
ADCY9	Secretory
ADD1	Cytosol
ADD2	Unclassified
ADD3	Nuclear
ADH1B	Unclassified
ADH5	Cytosol
ADH7	Cytosol
ADHFE1	Mitochondria
ADI1	Cytosol
ADIPOR1	Secretory
ADIPOR2	Secretory
ADK	Cytosol
ADM2	Secretory
ADNP	Nuclear
ADNP2	Nuclear
ADO	Cytosol
ADPGK	Secretory
ADPRH	Cytosol
ADPRHL2	Cytosol
ADRA1B	Secretory
ADRBK1	Cytosol
ADRBK2	Cytosol
ADRM1	Cytosol
ADSL	Cytosol
ADSS	Cytosol
ADSSL1	Cytosol
AEBP1	Cytosol
AEBP2	Cytosol
AES	Cytosol
AFAP1	Nuclear
AFAP1L2	Cytosol
AFF1	Nuclear
AFF4	Nuclear
AFG3L2	Mitochondria
AFM	Cytosol
AFMID	Cytosol
AFP	Cytosol
AFTPH	Cytosol
AGA	Secretory
AGAP1	Cytosol
AGAP3	Cytosol
AGBL5	Secretory
AGFG1	Cytosol
AGFG2	Cytosol
AGGF1	Nuclear
AGK	Mitochondria
AGL	Unclassified
AGMAT	Mitochondria
AGO1	Nuclear
AGO2	Nuclear
AGO3	Nuclear
AGO4	Unclassified
AGPAT1	Secretory
AGPAT2	Secretory
AGPAT3	Secretory
AGPAT4	Secretory
AGPAT5	Mitochondria
AGPAT6	Secretory
AGPAT9	Secretory
AGPS	Secretory
AGR2	Nuclear
AGR3	Nuclear
AGRN	Secretory
AGT	Cytosol
AGTPBP1	Cytosol
AGTRAP	Secretory
AHCTF1	Nuclear
AHCY	Cytosol
AHCYL1	Cytosol
AHCYL2	Cytosol
AHDC1	Nuclear
AHI1	Cytosol
AHNAK	Nuclear
AHNAK2	Nuclear
AHR	Cytosol
AHSA1	Cytosol
AHSG	Cytosol
AIDA	Cytosol
AIF1L	Cytosol
AIFM1	Mitochondria
AIFM2	Secretory
AIG1	Secretory
AIM1	Nuclear
AIM1L	Cytosol
AIMP1	Nuclear
AIMP2	Nuclear
AIP	Cytosol
AJUBA	Cytosol
AK1	Cytosol
AK2	Nuclear
AK3	Mitochondria
AK4	Mitochondria
AKAP1	Secretory
AKAP10	Cytosol
AKAP11	Secretory
AKAP12	Cytosol
AKAP13	Cytosol
AKAP17A	Nuclear
AKAP7	Cytosol
AKAP8	Nuclear
AKAP8L	Nuclear
AKAP9	Cytosol
AKIP1	Mitochondria
AKIRIN1	Unclassified
AKIRIN2	Unclassified
AKNA	Cytosol
AKR1A1	Cytosol
AKR1B1	Cytosol
AKR1B10	Cytosol
AKR1C2	Cytosol
AKR1C3	Cytosol
AKR7A2	Cytosol
AKT1	Cytosol
AKT1S1	Cytosol
AKT2	Cytosol
AKT3	Cytosol
AKTIP	Cytosol
ALAD	Cytosol
ALAS1	Mitochondria
ALB	Cytosol
ALCAM	Secretory
ALDH16A1	Nuclear
ALDH18A1	Mitochondria
ALDH1A1	Cytosol
ALDH1A3	Cytosol
ALDH1B1	Mitochondria
ALDH2	Cytosol
ALDH3A1	Cytosol
ALDH3A2	Secretory
ALDH3B1	Secretory
ALDH4A1	Mitochondria
ALDH5A1	Mitochondria
ALDH6A1	Mitochondria
ALDH7A1	Cytosol
ALDH9A1	Cytosol
ALDOA	Cytosol
ALDOC	Cytosol
ALG1	Secretory
ALG11	Secretory
ALG12	Secretory
ALG13	Cytosol
ALG14	Secretory
ALG2	Secretory
ALG3	Secretory
ALG5	Secretory
ALG6	Secretory
ALG8	Secretory
ALKBH1	Cytosol
ALKBH2	Nuclear
ALKBH3	Cytosol
ALKBH4	Cytosol
ALKBH5	Nuclear
ALKBH6	Cytosol
ALKBH7	Mitochondria
ALKBH8	Cytosol
ALMS1	Cytosol
ALOX5	Unclassified
ALOX5AP	Cytosol
ALPK1	Cytosol
ALPP	Unclassified
ALS2	Cytosol
ALS2CL	Cytosol
ALYREF	Nuclear
AMACR	Secretory
AMBP	Cytosol
AMBRA1	Nuclear
AMD1	Cytosol
AMDHD2	Cytosol
AMER1	Secretory
AMFR	Secretory
AMIGO2	Secretory
AMMECR1	Cytosol
AMMECR1L	Cytosol
AMN1	Cytosol
AMOT	Nuclear
AMOTL1	Unclassified
AMOTL2	Cytosol
AMPD2	Cytosol
AMPD3	Cytosol
AMPH	Cytosol
AMZ2	Cytosol
ANAPC1	Cytosol
ANAPC10	Cytosol
ANAPC11	Cytosol
ANAPC13	Cytosol
ANAPC16	Cytosol
ANAPC2	Cytosol
ANAPC4	Cytosol
ANAPC5	Cytosol
ANAPC7	Nuclear
ANG	Cytosol
ANGEL1	Secretory
ANGEL2	Nuclear
ANK1	Cytosol
ANK3	Nuclear
ANKEF1	Secretory
ANKFY1	Unclassified
ANKH	Secretory
ANKHD1	Cytosol
ANKIB1	Secretory
ANKLE2	Secretory
ANKMY2	Cytosol
ANKRA2	Cytosol
ANKRD10	Cytosol
ANKRD11	Nuclear
ANKRD12	Nuclear
ANKRD13A	Cytosol
ANKRD13C	Cytosol
ANKRD13D	Cytosol
ANKRD16	Cytosol
ANKRD17	Cytosol
ANKRD2	Cytosol
ANKRD22	Secretory
ANKRD26	Unclassified
ANKRD27	Unclassified
ANKRD28	Cytosol
ANKRD36C	Cytosol
ANKRD39	Cytosol
ANKRD40	Unclassified
ANKRD44	Cytosol
ANKRD46	Secretory
ANKRD49	Cytosol
ANKRD50	Cytosol
ANKRD52	Cytosol
ANKRD54	Cytosol
ANKRD9	Cytosol
ANKS1A	Cytosol
ANKS6	Cytosol
ANKZF1	Cytosol
ANLN	Nuclear
ANO1	Secretory
ANO10	Secretory
ANO6	Secretory
ANO8	Secretory
ANP32A	Cytosol
ANP32B	Cytosol
ANPEP	Cytosol
ANTXR1	Secretory
ANXA1	Cytosol
ANXA11	Cytosol
ANXA2	Nuclear
ANXA3	Cytosol
ANXA4	Cytosol
ANXA5	Cytosol
ANXA6	Cytosol
ANXA7	Cytosol
ANXA9	Secretory
AOC1	Nuclear
AOC3	Unclassified
AP1AR	Secretory
AP1B1	Cytosol
AP1G1	Cytosol
AP1G2	Cytosol
AP1M1	Cytosol
AP1M2	Cytosol
AP1S1	Cytosol
AP1S2	Cytosol
AP1S3	Unclassified
AP2A1	Secretory
AP2A2	Secretory
AP2B1	Secretory
AP2M1	Secretory
AP2S1	Unclassified
AP3B1	Cytosol
AP3B2	Cytosol
AP3D1	Cytosol
AP3M1	Cytosol
AP3M2	Cytosol
AP3S1	Cytosol
AP3S2	Cytosol
AP4B1	Cytosol
AP4E1	Cytosol
AP4M1	Cytosol
AP4S1	Cytosol
AP5B1	Cytosol
AP5M1	Cytosol
AP5S1	Cytosol
AP5Z1	Cytosol
APAF1	Cytosol
APBA1	Cytosol
APBA2	Cytosol
APBA3	Cytosol
APBB2	Secretory
APC	Nuclear
APC2	Secretory
APCS	Cytosol
APEH	Cytosol
APEX1	Cytosol
APEX2	Cytosol
APH1A	Secretory
API5	Unclassified
APIP	Cytosol
APLF	Nuclear
APLP2	Secretory
APMAP	Secretory
APOA1	Cytosol
APOA1BP	Cytosol
APOA2	Cytosol
APOA4	Cytosol
APOB	Secretory
APOBEC3A	Cytosol
APOBEC3B	Nuclear
APOBEC3C	Nuclear
APOC1	Unclassified
APOC3	Secretory
APOD	Secretory
APOE	Cytosol
APOH	Cytosol
APOL2	Secretory
APOL6	Secretory
APOM	Secretory
APOO	Mitochondria
APOOL	Mitochondria
APP	Secretory
APPBP2	Cytosol
APPL1	Cytosol
APPL2	Cytosol
APRT	Cytosol
APTX	Nuclear
AQR	Nuclear
ARAF	Cytosol
ARAP1	Cytosol
ARAP2	Cytosol
ARAP3	Cytosol
ARC	Secretory
ARCN1	Cytosol
AREL1	Secretory
ARF4	Cytosol
ARF5	Cytosol
ARF6	Cytosol
ARFGAP1	Secretory
ARFGAP2	Cytosol
ARFGAP3	Cytosol
ARFGEF1	Cytosol
ARFGEF2	Cytosol
ARFIP1	Cytosol
ARFIP2	Cytosol
ARFRP1	Secretory
ARG1	Secretory
ARG2	Mitochondria
ARGLU1	Nuclear
ARHGAP1	Cytosol
ARHGAP10	Unclassified
ARHGAP11A	Nuclear
ARHGAP12	Cytosol
ARHGAP17	Cytosol
ARHGAP18	Cytosol
ARHGAP21	Unclassified
ARHGAP23	Unclassified
ARHGAP26	Cytosol
ARHGAP27	Cytosol
ARHGAP29	Cytosol
ARHGAP30	Cytosol
ARHGAP32	Cytosol
ARHGAP35	Cytosol
ARHGAP39	Secretory
ARHGAP4	Cytosol
ARHGAP42	Cytosol
ARHGAP5	Cytosol
ARHGDIA	Cytosol
ARHGDIB	Cytosol
ARHGEF1	Cytosol
ARHGEF10	Cytosol
ARHGEF10L	Cytosol
ARHGEF11	Cytosol
ARHGEF12	Cytosol
ARHGEF16	Cytosol
ARHGEF17	Secretory
ARHGEF18	Cytosol
ARHGEF19	Cytosol
ARHGEF2	Cytosol
ARHGEF26	Cytosol
ARHGEF28	Cytosol
ARHGEF3	Secretory
ARHGEF35	Cytosol
ARHGEF37	Cytosol
ARHGEF39	Secretory
ARHGEF4	Unclassified
ARHGEF40	Secretory
ARHGEF5	Cytosol
ARHGEF7	Cytosol
ARID1A	Nuclear
ARID1B	Nuclear
ARID2	Nuclear
ARID3A	Nuclear
ARID3B	Nuclear
ARID4A	Nuclear
ARID4B	Nuclear
ARID5A	Unclassified
ARID5B	Nuclear
ARIH1	Cytosol
ARIH2	Cytosol
ARL1	Secretory
ARL13B	Secretory
ARL14EP	Nuclear
ARL15	Secretory
ARL2	Cytosol
ARL2BP	Cytosol
ARL3	Cytosol
ARL4A	Cytosol
ARL4C	Secretory
ARL4D	Secretory
ARL5A	Secretory
ARL6	Cytosol
ARL6IP4	Unclassified
ARL6IP5	Secretory
ARL6IP6	Nuclear
ARL8A	Secretory
ARL8B	Secretory
ARMC1	Mitochondria
ARMC10	Mitochondria
ARMC2	Cytosol
ARMC5	Secretory
ARMC6	Cytosol
ARMC7	Cytosol
ARMC8	Cytosol
ARMC9	Cytosol
ARMCX3	Mitochondria
ARMCX5	Cytosol
ARNT	Unclassified
ARNTL	Cytosol
ARNTL2	Nuclear
ARPC1A	Cytosol
ARPC1B	Cytosol
ARPC2	Cytosol
ARPC3	Cytosol
ARPC5	Cytosol
ARPC5L	Cytosol
ARPP19	Cytosol
ARRB1	Cytosol
ARRB2	Cytosol
ARRDC1	Unclassified
ARRDC3	Secretory
ARRDC4	Secretory
ARSA	Nuclear
ARSB	Nuclear
ARSJ	Secretory
ARTN	Secretory
ARV1	Secretory
ARVCF	Secretory
ASAH1	Secretory
ASAP1	Cytosol
ASAP2	Cytosol
ASAP3	Cytosol
ASB1	Cytosol
ASB6	Cytosol
ASB7	Nuclear
ASB8	Cytosol
ASB9	Cytosol
ASCC1	Cytosol
ASCC2	Nuclear
ASCC3	Cytosol
ASF1A	Cytosol
ASF1B	Unclassified
ASH1L	Nuclear
ASH2L	Nuclear
ASIC1	Cytosol
ASL	Cytosol
ASMTL	Cytosol
ASNA1	Cytosol
ASNS	Cytosol
ASNSD1	Cytosol
ASPH	Secretory
ASPM	Secretory
ASPN	Cytosol
ASPSCR1	Cytosol
ASS1	Cytosol
ASTE1	Nuclear
ASUN	Nuclear
ASXL1	Nuclear
ASXL2	Nuclear
ATAD1	Mitochondria
ATAD2	Nuclear
ATAD2B	Nuclear
ATAD3A	Mitochondria
ATAD3B	Mitochondria
ATAD5	Nuclear
ATE1	Cytosol
ATF1	Nuclear
ATF2	Nuclear
ATF3	Nuclear
ATF4	Nuclear
ATF6	Secretory
ATF6B	Secretory
ATF7	Nuclear
ATF7IP	Nuclear
ATF7IP2	Nuclear
ATG12	Cytosol
ATG13	Cytosol
ATG14	Cytosol
ATG16L1	Cytosol
ATG2A	Cytosol
ATG2B	Cytosol
ATG3	Cytosol
ATG4A	Cytosol
ATG4B	Cytosol
ATG4C	Cytosol
ATG5	Cytosol
ATG7	Cytosol
ATG9A	Secretory
ATHL1	Cytosol
ATIC	Cytosol
ATL1	Secretory
ATL2	Secretory
ATL3	Secretory
ATM	Nuclear
ATMIN	Nuclear
ATN1	Nuclear
ATOX1	Cytosol
ATP10D	Secretory
ATP11A	Secretory
ATP11B	Secretory
ATP11C	Secretory
ATP13A1	Secretory
ATP13A2	Secretory
ATP13A3	Secretory
ATP1A1	Secretory
ATP1A2	Secretory
ATP1A3	Mitochondria
ATP1B1	Secretory
ATP1B2	Cytosol
ATP1B3	Secretory
ATP2A2	Secretory
ATP2B1	Secretory
ATP2B2	Secretory
ATP2B3	Unclassified
ATP2B4	Secretory
ATP2C1	Secretory
ATP2C2	Secretory
ATP5A1	Mitochondria
ATP5B	Mitochondria
ATP5C1	Mitochondria
ATP5D	Mitochondria
ATP5F1	Mitochondria
ATP5G2	Cytosol
ATP5H	Mitochondria
ATP5I	Mitochondria
ATP5J	Mitochondria
ATP5L	Mitochondria
ATP5O	Mitochondria
ATP5S	Mitochondria
ATP5SL	Mitochondria
ATP6AP1	Secretory
ATP6AP2	Secretory
ATP6V0A1	Secretory
ATP6V0A2	Secretory
ATP6V0C	Secretory
ATP6V0D1	Secretory
ATP6V1A	Cytosol
ATP6V1B1	Cytosol
ATP6V1B2	Cytosol
ATP6V1C1	Cytosol
ATP6V1C2	Cytosol
ATP6V1D	Cytosol
ATP6V1E1	Cytosol
ATP6V1F	Cytosol
ATP6V1G1	Cytosol
ATP6V1H	Cytosol
ATP7A	Secretory
ATP7B	Secretory
ATP8A1	Secretory
ATP8B1	Secretory
ATP9A	Secretory
ATP9B	Secretory
ATPAF1	Mitochondria
ATPAF2	Mitochondria
ATPIF1	Mitochondria
ATR	Nuclear
ATRAID	Secretory
ATRIP	Nuclear
ATRN	Secretory
ATRX	Nuclear
ATXN1	Nuclear
ATXN10	Cytosol
ATXN1L	Unclassified
ATXN2	Unclassified
ATXN2L	Nuclear
ATXN3	Cytosol
ATXN7	Nuclear
ATXN7L2	Nuclear
ATXN7L3	Nuclear
ATXN7L3B	Cytosol
AUH	Mitochondria
