Protein	Localization
ABR	Cytosol
ABTB1	Cytosol
ACTR1A	Cytosol
ACTR2	Cytosol
ACTR3	Cytosol
AGT	Cytosol
AGTPBP1	Cytosol
ALDH9A1	Cytosol
ALOX15	Cytosol
ALS2	Cytosol
AMN1	Cytosol
ANAPC13	Cytosol
ANKMY2	Cytosol
ANKRD28	Cytosol
ANKRD44	Cytosol
ANXA7	Cytosol
AP1G1	Cytosol
AP1G2	Cytosol
AP1M1	Cytosol
AP1M2	Cytosol
AP1S1	Cytosol
AP3B1	Cytosol
AP3D1	Cytosol
AP3M1	Cytosol
AP3S1	Cytosol
AP4E1	Cytosol
APOA1BP	Cytosol
APPL1	Cytosol
ARAP3	Cytosol
ARHGEF37	Cytosol
ARHGEF5	Cytosol
ARL6	Cytosol
ARPC1B	Cytosol
ARPC2	Cytosol
ARPC5L	Cytosol
ASAP1	Cytosol
ASAP2	Cytosol
ASAP3	Cytosol
ATP6V1A	Cytosol
ATP6V1C1	Cytosol
ATP6V1E1	Cytosol
AVEN	Cytosol
AVL9	Cytosol
BAX	Cytosol
BCAR3	Cytosol
BCR	Cytosol
BIN3	Cytosol
BIRC6	Cytosol
BTBD10	Cytosol
BTBD11	Cytosol
C3orf14	Cytosol
CAMK1	Cytosol
CAMK2D	Cytosol
CAMKMT	Cytosol
CASKIN2	Cytosol
CCT2	Cytosol
CCT3	Cytosol
CCT4	Cytosol
CCT5	Cytosol
CCT6A	Cytosol
CCT8	Cytosol
CDC42EP5	Cytosol
CEP44	Cytosol
CLASP2	Cytosol
CNKSR1	Cytosol
COL1A1	Cytosol
CTIF	Cytosol
CUL7	Cytosol
CUL9	Cytosol
DDHD1	Cytosol
DDHD2	Cytosol
DERA	Cytosol
DGKZ	Cytosol
DLGAP4	Cytosol
DMXL1	Cytosol
DMXL2	Cytosol
DNAJC21	Cytosol
DNMBP	Cytosol
DOCK1	Cytosol
DOPEY1	Cytosol
DOPEY2	Cytosol
DSTYK	Cytosol
DTYMK	Cytosol
DYNC1H1	Cytosol
DYNC1LI1	Cytosol
DYNLT1	Cytosol
DYNLT3	Cytosol
EFHD2	Cytosol
EID2	Cytosol
EIF2B1	Cytosol
EIF2B2	Cytosol
ELAC1	Cytosol
ELMO2	Cytosol
ELMO3	Cytosol
ENDOV	Cytosol
ENTHD2	Cytosol
EPG5	Cytosol
FAM129A	Cytosol
FAM214A	Cytosol
FAM65A	Cytosol
FAM86A	Cytosol
FAM89B	Cytosol
FBXL15	Cytosol
FBXO42	Cytosol
FBXW8	Cytosol
FERMT1	Cytosol
FOCAD	Cytosol
FRYL	Cytosol
FTSJ1	Cytosol
GPATCH2	Cytosol
GPRASP2	Cytosol
GRB14	Cytosol
GSTZ1	Cytosol
GYG2	Cytosol
HAUS3	Cytosol
HAUS4	Cytosol
HAUS6	Cytosol
HEATR5A	Cytosol
HECTD3	Cytosol
HERC1	Cytosol
HERC4	Cytosol
HMGCLL1	Cytosol
HPS3	Cytosol
HPS5	Cytosol
HPS6	Cytosol
ICA1	Cytosol
IDNK	Cytosol
IFT80	Cytosol
IFT81	Cytosol
IFT88	Cytosol
IKBKE	Cytosol
INPP5F	Cytosol
IPO9	Cytosol
KATNA1	Cytosol
KATNB1	Cytosol
KCMF1	Cytosol
KHNYN	Cytosol
KIAA0930	Cytosol
KIAA1244	Cytosol
KIF13A	Cytosol
KIF13B	Cytosol
KIF1B	Cytosol
KLHL26	Cytosol
KLHL9	Cytosol
KSR1	Cytosol
LAP3	Cytosol
LINGO1	Cytosol
LPIN1	Cytosol
LPIN2	Cytosol
LRRC40	Cytosol
LSM1	Cytosol
LTF	Cytosol
LYPLA1	Cytosol
LYPLAL1	Cytosol
MADD	Cytosol
MAGED2	Cytosol
MAP2K4	Cytosol
MAP2K5	Cytosol
MAP2K6	Cytosol
MAP3K5	Cytosol
MAP4K2	Cytosol
MAST2	Cytosol
MCC	Cytosol
METTL21A	Cytosol
MEX3D	Cytosol
MTM1	Cytosol
MTMR14	Cytosol
MTMR3	Cytosol
MTMR6	Cytosol
MTMR7	Cytosol
MTMR9	Cytosol
MTSS1L	Cytosol
MYCN	Cytosol
MYD88	Cytosol
MZT2B	Cytosol
NAPB	Cytosol
NBEA	Cytosol
NCKIPSD	Cytosol
NEDD9	Cytosol
NEK1	Cytosol
NEK3	Cytosol
NEK4	Cytosol
NKIRAS1	Cytosol
NRBP2	Cytosol
NSUN6	Cytosol
OSBP	Cytosol
PACS2	Cytosol
PAIP2	Cytosol
PAIP2B	Cytosol
PARVB	Cytosol
PDCD10	Cytosol
PDE7A	Cytosol
PHKA2	Cytosol
PHKB	Cytosol
PHKG2	Cytosol
PICK1	Cytosol
PKN2	Cytosol
PLEKHG2	Cytosol
PLIN3	Cytosol
POLR2M	Cytosol
PPM1H	Cytosol
PPP2R2D	Cytosol
PPP2R5A	Cytosol
PPP2R5E	Cytosol
PRKAA1	Cytosol
PRKAG1	Cytosol
PRKCI	Cytosol
PRKD1	Cytosol
PRKD2	Cytosol
PRKX	Cytosol
PSMA3	Cytosol
PSMA4	Cytosol
PSMA6	Cytosol
PSMB2	Cytosol
PSMB3	Cytosol
PSMB4	Cytosol
PSMB5	Cytosol
PSMB7	Cytosol
PSMC2	Cytosol
PSMC3	Cytosol
PSMC4	Cytosol
PSMC5	Cytosol
PSMD1	Cytosol
PSMD11	Cytosol
PSMD12	Cytosol
PSMD13	Cytosol
PSMD14	Cytosol
PSMD2	Cytosol
PSMD3	Cytosol
PSMD7	Cytosol
PSMD8	Cytosol
PSME4	Cytosol
PTGR2	Cytosol
PTK2	Cytosol
PTK2B	Cytosol
PTPN23	Cytosol
R3HCC1	Cytosol
RAB28	Cytosol
RAB3IL1	Cytosol
RABGAP1	Cytosol
RAF1	Cytosol
RALGPS2	Cytosol
RFESD	Cytosol
RICTOR	Cytosol
RIOK2	Cytosol
RNF141	Cytosol
RNF214	Cytosol
ROGDI	Cytosol
RTKN	Cytosol
RWDD2A	Cytosol
SASS6	Cytosol
SCYL1	Cytosol
SEC23IP	Cytosol
SESN1	Cytosol
SHQ1	Cytosol
SKIV2L	Cytosol
SNAP29	Cytosol
SNF8	Cytosol
SNUPN	Cytosol
SNX1	Cytosol
SNX2	Cytosol
SNX5	Cytosol
SNX6	Cytosol
SOX3	Cytosol
SPATA5	Cytosol
SPATA5L1	Cytosol
SPC25	Cytosol
SPG20	Cytosol
STARD13	Cytosol
STAT3	Cytosol
STK3	Cytosol
SYAP1	Cytosol
SYK	Cytosol
TANGO6	Cytosol
TARBP1	Cytosol
TBC1D17	Cytosol
TBC1D7	Cytosol
TBC1D9B	Cytosol
TCP1	Cytosol
TELO2	Cytosol
TF	Cytosol
TICAM1	Cytosol
