Human_Gene	Uniprot_GO_SUM
A4GALT	Golgi
A4GNT	Golgi
AAAS	Nucleus
AACS	cytosol
AADAC	ER
AADAT	Mitochondrion
AAGAB	cytosol
AAMDC	cytosol
AANAT	cytosol
AARS	cytosol
AARS2	Mitochondrion
AARSD1	cytosol
AASDHPPT	cytosol
AASS	Mitochondrion
AATF	Nucleus
ABAT	Mitochondrion
ABCA8	PM
ABCA9	Mitochondrion
ABCB1	PM
ABCB10	Mitochondrion
ABCB5	PM
ABCB7	Mitochondrion
ABCB8	Mitochondrion
ABCB9	lysosome
ABCC1	PM
ABCC10	PM
ABCC11	PM
ABCC2	PM
ABCC3	PM
ABCC5	PM
ABCC8	PM
ABCD1	Peroxisome
ABCD2	Peroxisome
ABCD3	Peroxisome
ABCD4	Peroxisome
ABCG4	PM
ABCG5	PM
ABCG8	PM
ABHD10	Mitochondrion
ABHD11	Mitochondrion
ABHD12	PM
ABHD3	PM
ABHD4	ER
ABHD6	Mitochondrion
ABI2	CS
ABI3	CS
ABL2	CS
ABLIM1	CS
ABLIM2	CS
ABLIM3	cytosol
ABO	Golgi
ABRA	CS
ABT1	Nucleus
ABTB1	cytosol
ABTB2	Nucleus
ACAA1	Peroxisome
ACAA2	Mitochondrion
ACACA	cytosol
ACAD10	Mitochondrion
ACAD8	Mitochondrion
ACAD9	Mitochondrion
ACADL	Mitochondrion
ACADM	Mitochondrion
ACADS	Mitochondrion
ACADSB	Mitochondrion
ACADVL	Mitochondrion
ACAP1	endosome
ACAP2	endosome
ACAT1	Mitochondrion
ACAT2	cytosol
ACBD5	Peroxisome
ACBD6	cytosol
ACD	Nucleus
ACER1	ER
ACER2	Golgi
ACIN1	Nucleus
ACKR1	PM
ACKR4	PM
ACLY	cytosol
ACMSD	cytosol
ACN9	Mitochondrion
ACO1	cytosol
ACO2	Mitochondrion
ACOT1	cytosol
ACOT11	cytosol
ACOT12	cytosol
ACOT2	Mitochondrion
ACOT4	Peroxisome
ACOT6	cytosol
ACOT7L	cytosol
ACOT9	Mitochondrion
ACOX1	Peroxisome
ACOX2	Peroxisome
ACOX3	Peroxisome
ACOXL	Peroxisome
ACP1	cytosol
ACP5	lysosome
ACP6	Mitochondrion
ACPL2	Golgi
ACRC	Nucleus
ACSF2	Mitochondrion
ACSF3	Mitochondrion
ACSM1	Mitochondrion
ACSM2A	Mitochondrion
ACSM2B	Mitochondrion
ACSM3	Mitochondrion
ACSM4	Mitochondrion
ACSM5	Mitochondrion
ACSM6	Mitochondrion
ACSS1	Mitochondrion
ACSS2	cytosol
ACSS3	Mitochondrion
ACTA1	CS
ACTA2	CS
ACTBL2	CS
ACTC1	CS
ACTG1	CS
ACTG2	CS
ACTL6A	Nucleus
ACTL6B	Nucleus
ACTL7B	CS
ACTL8	CS
ACTL9	CS
ACTN2	CS
ACTN3	CS
ACTR10	CS
ACTR1A	CS
ACTR1B	CS
ACTR2	CS
ACTR3	CS
ACTR3B	CS
ACTRT1	CS
ACTRT2	CS
ACVR1	PM
ACVR1B	PM
ACVR1C	PM
ACVR2B	PM
ACVRL1	PM
ACY1	cytosol
ACYP2	Mitochondrion
ADAD1	Nucleus
ADAL	cytosol
ADAM11	PM
ADAM19	Golgi
ADAM2	PM
ADAM20	PM
ADAM22	PM
ADAM29	PM
ADAM30	PM
ADAM7	PM
ADAMTS5	ER
ADAMTS9	ER
ADAMTSL1	ER
ADAMTSL4	ER
ADARB1	Nucleus
ADARB2	Nucleus
ADAT2	Nucleus
ADCK1	Mitochondrion
ADCK3	Mitochondrion
ADCK5	Mitochondrion
ADCY7	PM
ADCY8	PM
ADCY9	PM
ADCYAP1R1	PM
ADH1A	cytosol
ADH1B	cytosol
ADH1C	cytosol
ADH4	cytosol
ADH5	cytosol
ADH6	cytosol
ADH7	cytosol
ADHFE1	Mitochondrion
ADIPOR1	PM
ADIPOR2	PM
ADIRF	Nucleus
ADNP	Nucleus
ADNP2	Nucleus
ADO	Mitochondrion
ADORA1	PM
ADORA2A	PM
ADORA2B	PM
ADORA3	PM
ADPGK	ER
ADPRM	cytosol
ADRA1D	PM
ADRA2A	PM
ADRA2B	PM
ADRA2C	PM
