Protein	Localization
A4GALT	Secretory
A4GNT	Secretory
AAAS	Nucleus
AACS	Cytosol
AADAC	Secretory
AADAT	Mitochondria
AAGAB	Cytosol
AAMDC	Cytosol
AANAT	Cytosol
AARS	Cytosol
AARS2	Mitochondria
AARSD1	Cytosol
AASDHPPT	Cytosol
AASS	Mitochondria
AATF	Nucleus
ABAT	Mitochondria
ABCA8	Secretory
ABCA9	Mitochondria
ABCB1	Secretory
ABCB10	Mitochondria
ABCB5	Secretory
ABCB7	Mitochondria
ABCB8	Mitochondria
ABCB9	Secretory
ABCC1	Secretory
ABCC10	Secretory
ABCC11	Secretory
ABCC2	Secretory
ABCC3	Secretory
ABCC5	Secretory
ABCC8	Secretory
ABCD1	Secretory
ABCD2	Secretory
ABCD3	Secretory
ABCD4	Secretory
ABCG4	Secretory
ABCG5	Secretory
ABCG8	Secretory
ABHD10	Mitochondria
ABHD11	Mitochondria
ABHD12	Secretory
ABHD3	Secretory
ABHD4	Secretory
ABHD6	Mitochondria
ABI2	Cytosol
ABI3	Cytosol
ABL2	Cytosol
ABLIM1	Cytosol
ABLIM2	Cytosol
ABLIM3	Cytosol
ABO	Secretory
ABRA	Cytosol
ABT1	Nucleus
ABTB1	Cytosol
ABTB2	Nucleus
ACAA1	Secretory
ACAA2	Mitochondria
ACACA	Cytosol
ACAD10	Mitochondria
ACAD8	Mitochondria
ACAD9	Mitochondria
ACADL	Mitochondria
ACADM	Mitochondria
ACADS	Mitochondria
ACADSB	Mitochondria
ACADVL	Mitochondria
ACAP1	Secretory
ACAP2	Secretory
ACAT1	Mitochondria
ACAT2	Cytosol
ACBD5	Secretory
ACBD6	Cytosol
ACD	Nucleus
ACER1	Secretory
ACER2	Secretory
ACIN1	Nucleus
ACKR1	Secretory
ACKR4	Secretory
ACLY	Cytosol
ACMSD	Cytosol
ACN9	Mitochondria
ACO1	Cytosol
ACO2	Mitochondria
ACOT1	Cytosol
ACOT11	Cytosol
ACOT12	Cytosol
ACOT2	Mitochondria
ACOT4	Secretory
ACOT6	Cytosol
ACOT7L	Cytosol
ACOT9	Mitochondria
ACOX1	Secretory
ACOX2	Secretory
ACOX3	Secretory
ACOXL	Secretory
ACP1	Cytosol
ACP5	Secretory
ACP6	Mitochondria
ACPL2	Secretory
ACRC	Nucleus
ACSF2	Mitochondria
ACSF3	Mitochondria
ACSM1	Mitochondria
ACSM2A	Mitochondria
ACSM2B	Mitochondria
ACSM3	Mitochondria
ACSM4	Mitochondria
ACSM5	Mitochondria
ACSM6	Mitochondria
ACSS1	Mitochondria
ACSS2	Cytosol
ACSS3	Mitochondria
ACTA1	Cytosol
ACTA2	Cytosol
ACTBL2	Cytosol
ACTC1	Cytosol
ACTG1	Cytosol
ACTG2	Cytosol
ACTL6A	Nucleus
ACTL6B	Nucleus
ACTL7B	Cytosol
ACTL8	Cytosol
ACTL9	Cytosol
ACTN2	Cytosol
ACTN3	Cytosol
ACTR10	Cytosol
ACTR1A	Cytosol
ACTR1B	Cytosol
ACTR2	Cytosol
ACTR3	Cytosol
ACTR3B	Cytosol
ACTRT1	Cytosol
ACTRT2	Cytosol
ACVR1	Secretory
ACVR1B	Secretory
ACVR1C	Secretory
ACVR2B	Secretory
ACVRL1	Secretory
ACY1	Cytosol
ACYP2	Mitochondria
ADAD1	Nucleus
ADAL	Cytosol
ADAM11	Secretory
ADAM19	Secretory
ADAM2	Secretory
ADAM20	Secretory
ADAM22	Secretory
ADAM29	Secretory
ADAM30	Secretory
ADAM7	Secretory
ADAMTS5	Secretory
ADAMTS9	Secretory
ADAMTSL1	Secretory
ADAMTSL4	Secretory
ADARB1	Nucleus
ADARB2	Nucleus
ADAT2	Nucleus
ADCK1	Mitochondria
ADCK3	Mitochondria
ADCK5	Mitochondria
ADCY7	Secretory
ADCY8	Secretory
ADCY9	Secretory
ADCYAP1R1	Secretory
ADH1A	Cytosol
ADH1B	Cytosol
ADH1C	Cytosol
ADH4	Cytosol
ADH5	Cytosol
ADH6	Cytosol
ADH7	Cytosol
ADHFE1	Mitochondria
ADIPOR1	Secretory
ADIPOR2	Secretory
ADIRF	Nucleus
ADNP	Nucleus
ADNP2	Nucleus
ADO	Mitochondria
ADORA1	Secretory
ADORA2A	Secretory
ADORA2B	Secretory
ADORA3	Secretory
ADPGK	Secretory
ADPRM	Cytosol
ADRA1D	Secretory
ADRA2A	Secretory
ADRA2B	Secretory
ADRA2C	Secretory
ADRB1	Secretory
ADRB3	Secretory
ADSS	Cytosol
ADSSL1	Cytosol
ADTRP	Secretory
AEBP2	Nucleus
AEN	Nucleus
AES	Nucleus
AFAP1	Cytosol
AFAP1L1	Cytosol
AFAP1L2	Cytosol
AFF1	Nucleus
AFF2	Nucleus
AFF3	Nucleus
AFF4	Nucleus
AFG3L2	Mitochondria
AFTPH	Cytosol
AGA	Secretory
AGAP1	Cytosol
AGBL1	Cytosol
AGBL3	Cytosol
AGK	Mitochondria
AGMAT	Mitochondria
AGMO	Secretory
AGO1	Cytosol
AGO3	Cytosol
AGO4	Cytosol
AGPAT1	Secretory
AGPAT2	Secretory
AGPAT4	Secretory
AGPAT6	Secretory
AGPAT9	Secretory
AGR2	Secretory
AGR3	Secretory
AGTR1	Secretory
AGTR2	Secretory
AGXT2	Mitochondria
AHI1	Cytosol
AHNAK	Nucleus
AHNAK2	Nucleus
AHSP	Cytosol
AIDA	Cytosol
AIP	Cytosol
AK1	Cytosol
AK2	Mitochondria
AK3	Mitochondria
AK4	Mitochondria
AK5	Cytosol
AK7	Cytosol
AK8	Cytosol
AKAP1	Mitochondria
AKAP11	Cytosol
AKAP14	Cytosol
AKAP17A	Nucleus
AKAP4	Cytosol
AKAP7	Secretory
AKIP1	Nucleus
AKIRIN1	Nucleus
AKIRIN2	Nucleus
AKNA	Nucleus
AKNAD1	Cytosol
AKR1B1	Cytosol
AKR1C1	Cytosol
AKR1C2	Cytosol
AKR1C3	Cytosol
AKR1C4	Cytosol
AKR1CL1	Cytosol
AKR1D1	Cytosol
AKR1E2	Cytosol
AKR7A3	Cytosol
AKR7L	Cytosol
AKT1S1	Cytosol
ALAS1	Mitochondria
ALAS2	Mitochondria
ALDH18A1	Mitochondria
ALDH1A1	Cytosol
ALDH1A2	Cytosol
ALDH1A3	Cytosol
ALDH1B1	Mitochondria
ALDH1L1	Cytosol
ALDH1L2	Mitochondria
ALDH2	Mitochondria
ALDH3A1	Cytosol
ALDH4A1	Mitochondria
ALDH5A1	Mitochondria
ALDH6A1	Mitochondria
ALDH8A1	Cytosol
ALDH9A1	Cytosol
ALDOA	Cytosol
ALDOB	Cytosol
ALG1	Secretory
ALG10	Secretory
ALG10B	Secretory
ALG11	Secretory
ALG12	Secretory
ALG13	Secretory
ALG1L	Secretory
ALG1L2	Secretory
ALG3	Secretory
ALG5	Secretory
ALG6	Secretory
ALG8	Secretory
