gene_name,C3N-03796-Primary-Tumor,C3N-03757-Primary-Tumor,C3L-03735-Primary-Tumor,C3L-03733-Primary-Tumor-Disqualified,C3N-02682-Primary-Tumor,C3N-04097-Primary-Tumor,C3N-02681-Primary-Tumor,C3L-02644-Primary-Tumor,C3L-03740-Primary-Tumor,C3N-03755-Primary-Tumor,C3N-03452-Primary-Tumor,C3N-04686-Primary-Tumor,C3N-03939-Primary-Tumor,C3N-03802-Primary-Tumor,C3N-04094-Primary-Tumor,C3N-04100-Primary-Tumor,C3L-04795-Primary-Tumor,C3N-03001-Primary-Tumor,C3N-04691-Primary-Tumor,C3N-02259-Primary-Tumor,C3N-03800-Primary-Tumor,C3N-05039-Primary-Tumor,C3N-03480-Primary-Tumor,C3N-04113-Primary-Tumor-Disqualified,C3N-04098-Primary-Tumor,C3N-01849-Primary-Tumor,C3L-04083-Primary-Tumor,C3L-04339-Primary-Tumor,C3N-03448-Primary-Tumor,C3L-04537-Primary-Tumor,C3N-03791-Primary-Tumor,C3N-03449-Primary-Tumor,C3N-03003-Primary-Tumor,C3N-03756-Primary-Tumor,C3L-02662-Primary-Tumor,C3L-04539-Primary-Tumor,C3N-04695-Primary-Tumor,C3N-03935-Primary-Tumor,C3L-04362-Primary-Tumor,C3L-04359-Primary-Tumor,C3L-04038-Primary-Tumor,C3L-04082-Primary-Tumor,C3N-04683-Primary-Tumor,C3L-04392-Primary-Tumor,C3L-05239-Primary-Tumor,C3L-01232-Primary-Tumor,C3N-03484-Primary-Tumor,C3L-04731-Primary-Tumor,C3L-04090-Primary-Tumor,C3N-02683-Primary-Tumor,C217710-Primary-Tumor,C3N-03446-Solid-Tissue-Normal,C3N-01365-Solid-Tissue-Normal,C1230738-Recurrent-Tumor,C1230738-Primary-Tumor,C3N-02286-Primary-Tumor,C217710-Recurrent-Tumor,C289419-Primary-Tumor,C289419-Recurrent-Tumor,C3L-04213-Primary-Tumor,C3N-04113-Primary-Tumor,C317832-Primary-Tumor,C3N-05991-Primary-Tumor,C234192-Primary-Tumor,ref2,C524103-Metastatic,C3L-04081-Primary-Tumor,C3N-04092-Primary-Tumor,C234192-Recurrent-Tumor,C317832-Recurrent-Tumor,C621273-Metastatic,C243048-Primary-Tumor,C219555-Recurrent-Tumor,C219555-Primary-Tumor,C3N-05114-Primary-Tumor,C621273-Additional-Metastatic,C3N-03792-Primary-Tumor,C3L-03385-Primary-Tumor,C229764-Primary-Tumor,C229764-Recurrent-Tumor,C2415597-Primary-Tumor,C3L-05481-Primary-Tumor,C3L-03372-Primary-Tumor,C283515-Recurrent-Tumor,C207624-Primary-Tumor,C3L-06625-Primary-Tumor,C283515-Primary-Tumor,C231855-Primary-Tumor,C207624-Recurrent-Tumor,C2415597-Recurrent-Tumor,C3N-03789-Primary-Tumor,C383391-Recurrent-Tumor,C224106-Recurrent-Tumor,C243909-Metastatic,C224106-Primary-Tumor,C3N-01197-Solid-Tissue-Normal,C243909-Additional-Metastatic,C3N-01191-Solid-Tissue-Normal,C3N-04687-Primary-Tumor,C383391-Primary-Tumor,C3N-04312-Primary-Tumor,C298152-Primary-Tumor,C464694-Primary-Tumor,C287328-Primary-Tumor,C287328-Recurrent-Tumor,C3L-07202-Primary-Tumor,C464694-Recurrent-Tumor,C298152-Recurrent-Tumor,C3L-07611-Primary-Tumor,C3N-03025-Primary-Tumor,C760878-Recurrent-Tumor,C760878-Primary-Tumor,C208854-Recurrent-Tumor,C3L-04085-Primary-Tumor,C3N-04693-Primary-Tumor,C208854-Primary-Tumor,C3N-02684-Solid-Tissue-Normal,C330255-Recurrent-Tumor,C330255-Primary-Tumor,C259161-Primary-Tumor,C827913-Recurrent-Tumor,C247230-Primary-Tumor,C3N-03026-Solid-Tissue-Normal,C827913-Recurrent-Tumor2,C224967-Additional-Metastatic,C3N-03452-Solid-Tissue-Normal,C224967-Metastatic,C247230-Recurrent-Tumor,C827913-Primary-Tumor,C3N-05135-Primary-Tumor,C204057-Recurrent-Tumor,C1245129-Primary-Tumor,C266664-Metastatic,C3L-04036-Primary-Tumor,C1245129-Recurrent-Tumor,C204057-Primary-Tumor,C266664-Additional-Metastatic,C3N-03450-Solid-Tissue-Normal,C685110-Additional-Metastatic,C3L-07213-Primary-Tumor,C761370-Recurrent-Tumor,C223491-Metastatic,C3N-03810-Primary-Tumor,C223491-Additional-Metastatic,C3N-02599-Primary-Tumor,C846363-Primary-Tumor,C761370-Primary-Tumor,C3N-03453-Primary-Tumor,C846363-Recurrent-Tumor,C3N-03797-Primary-Tumor
NUDT4B,1.096039235,1.620385285,2.226136111,1.399623646,1.980833831,1.50970376,2.310990952,1.752969052,1.495903263,1.202916493,0.979088006,1.688730515,2.215102524,1.593634001,1.747126293,1.48965731,3.8648687,2.059401457,1.188997596,2.323276639,1.396761914,1.300616606,2.227731429,1.65617793,1.579314011,2.440106316,1.553172462,0.493134351,0.917622178,2.134554839,1.227820467,1.020842862,1.524434008,2.786870171,1.498327744,1.46060372,1.768440984,2.12059711,3.175750149,1.717413953,1.521110644,1.062568433,1.4629879,1.730526489,1.037600716,1.566077934,1.548496772,3.011124934,1.674411192,2.470114545,0.84624526,1.177258469,1.023135418,0.877172765,1.475266776,0.964406654,0.573047455,0.726432359,1.139146555,2.127983841,0.744952085,0.269454307,1.28373833,0.879671394,0.929078272,0.782279006,0.579031774,1.845213018,1.469631839,1.946712625,0.689580317,0.724708047,1.689392675,0.270190894,1.310940251,1.748494835,1.028447656,1.605422091,1.734253666,1.262147212,1.150164194,1.092486351,3.426276352,0.572784469,1.230576511,0.958707503,0.5004357,1.419659273,1.358226251,0.953017138,0.882447381,0.694447305,0.378366182,1.670603687,0.701979615,0.779617696,0.214981252,0.685100007,1.30521554,1.080587824,2.70368787,1.583655587,1.889483411,2.604143194,1.687324849,2.838849024,0.758023114,2.239802755,1.191665176,2.765884234,2.090667108,1.134223916,2.071129919,1.002262656,1.230505497,1.12070606,1.113168761,1.700352972,1.282161718,1.457078662,0.584222649,2.824064527,1.142627856,1.098234852,0.136321075,0.811156276,0.210819128,0.764341571,0.363939051,1.781940395,0.378766162,2.441286846,0.836518333,1.377874233,0.52960723,1.166574627,0.68863622,0.960208885,0.39405433,2.592323947,0.446975041,0.411272069,1.176362734,0.858651436,2.09437537,1.131995043,0.786360851,1.760146576,2.032342753,1.45859234
IGKV3-7,1.447595633,1.164870935,2.027623912,0.936204304,1.197603474,1.313986676,1.738127583,1.805789771,1.207444807,1.781290306,0.827714488,1.2249668,3.365982407,1.159004197,3.82414867,1.461961162,1.466177334,1.41785811,3.257522315,1.697736754,1.224865933,1.829885443,1.221148613,1.610753237,1.452732322,1.707334086,1.576985543,3.78004771,2.362509346,1.953491574,1.250846798,1.209163587,2.866446556,1.257441758,1.390288568,1.233172225,1.159559015,2.330883447,1.163024033,1.623998235,1.352026623,2.562546467,0.693922636,1.839148968,2.149564256,1.905277344,1.561898468,1.678402709,1.143025746,1.446905195,1.037565268,0.871461292,0.999672664,0.703977317,1.498627498,1.023593569,0.489011378,1.545964961,2.099162275,1.470485711,1.135020958,0.583530144,1.409291379,0.500298495,1.191178178,1.165031202,0.959180638,1.717240697,0.620101695,1.235222869,0.781490498,0.479655532,0.892806936,0.447781343,2.340705859,1.363040595,2.17589678,2.458255813,1.124492477,0.932830008,0.941945594,1.091228421,1.830297955,0.704715689,1.892233688,0.888414319,0.901922452,0.659581493,0.72688302,1.063596872,1.627711669,0.92592611,0.344091922,0.795706835,0.675576294,0.905301079,0.361313693,1.492219702,1.261145589,0.644809517,1.794585789,1.092117179,0.413173008,1.29649047,0.634405831,1.363922515,0.685290584,0.645285484,1.541344948,1.347313384,1.03574901,1.163460152,0.896974643,1.565285893,1.362170546,1.928956198,0.988312017,1.591872809,1.663275084,1.333174303,0.858522921,1.599548388,1.396586622,1.075678328,0.349084419,1.344156065,0.891156461,1.660642064,0.44667865,1.976115699,0.267638264,1.674934226,1.210858195,3.895877779,1.443510031,1.247463031,1.791086122,1.191450723,0.982985101,1.41150172,0.467353706,0.582338824,1.635436212,0.79411544,1.944093609,1.051382118,1.16316354,2.212511386,0.677265316,2.243140153
IGLV4-69,1.459443899,1.243339336,1.399550971,0.838142985,0.583661777,1.402520312,1.46226752,1.316807992,0.65601431,2.080763976,0.962298987,1.154037492,3.155846733,0.994513448,6.153811615,0.946661209,0.821631225,2.002568912,4.051909004,1.422158669,0.964844408,1.323304181,1.251333422,1.187402578,1.874957322,1.994802424,0.92563118,6.065634233,1.689878439,1.222010268,0.972978762,1.168601182,1.678137618,0.609947444,1.373441994,1.319564205,0.76842292,2.618194965,1.133368972,1.713139391,1.128506604,4.477523001,0.443997261,2.505366233,2.346843308,1.924991549,1.590991641,1.368450333,0.694846154,1.059440073,0.209246647,0.322056639,0.349616007,0.474138595,0.98274039,0.744099999,0.179257507,0.530717278,0.912908357,0.968715054,0.964362663,0.255015214,0.571723482,0.389839044,0.862404245,0.97602314,1.097304086,1.630226115,0.349314796,0.647800639,0.518819293,0.443511963,0.60169048,0.358696172,1.554187714,2.323155865,1.432995484,2.447213433,1.158311815,0.878059205,1.119680437,0.485108856,1.147925967,0.207662058,2.379995634,0.364805509,0.470224577,0.437337559,0.497335798,1.160742748,2.784790852,0.480940408,0.239179061,1.00116657,0.396586908,1.018308564,0.385677083,1.098094922,2.177232787,0.350406283,2.09860356,1.412997284,0.409865099,1.516972775,0.728365385,0.983406328,0.667288914,0.942996919,1.092396715,1.23308527,0.968453993,0.613950873,0.447833066,1.16353337,0.915159424,1.214339833,0.492046693,1.198679401,2.269188228,1.09388,0.415878523,0.86245138,0.479849379,0.377019951,0.373917509,0.45708117,1.053898276,0.670288994,0.260096207,3.609143634,0.298434929,1.773220515,0.628423194,1.929963965,2.017170173,1.351546577,1.247954378,1.142249549,0.568076097,1.780694467,0.392243021,0.369172295,2.492590436,0.738405061,1.984492775,0.759656113,0.746324874,2.438423403,0.466364198,2.477951631
IGLV8-61,1.973707741,0.746547098,1.624179576,0.638722775,0.675225745,0.59599849,1.300769342,1.270200319,0.678221275,1.471265526,1.232682023,1.048193486,3.082337094,0.919410317,4.153913777,1.408203602,1.062657227,0.984678449,4.211291613,1.445901454,2.562042199,2.468399097,1.460533723,1.961814436,0.917242053,2.164774213,1.652118277,2.919434096,1.059404685,1.503718846,0.759539642,0.549087081,1.773253197,0.89583788,1.420477918,1.973969253,1.09506637,2.306296508,0.647601498,2.111869904,2.455509826,3.040596107,0.700869723,2.151087579,2.668837773,2.67067543,2.046510507,0.992307257,0.924665428,1.094480682,0.25174873,0.391942424,0.266919221,0.566965805,0.7125446,1.482517706,0.216726086,1.593342841,2.173788212,1.438986072,1.043256295,0.4719783,1.207867254,0.38359846,1.065706272,0.665794753,0.979084099,1.948457626,0.288075723,0.918370761,0.959243381,0.217798524,0.565587556,0.241188685,1.68800615,3.443434749,1.270101541,1.513308205,0.582296983,0.654395936,0.263699761,0.506085442,0.846588966,0.167979418,2.230187998,0.306276347,0.372991663,0.506542416,0.427909926,0.290308399,1.351727011,0.398403581,0.356994185,0.859767403,0.460480539,0.317549244,0.129112017,1.059171733,1.496308825,0.187529482,2.889172775,0.723190422,0.662869121,1.56515934,0.808844523,1.061217896,1.294346774,0.715326847,1.329853206,1.366539621,0.800309724,0.728682534,0.410657483,1.577610908,1.245884422,1.426826046,0.355663965,0.576035343,0.755302187,1.502260066,0.597654422,1.460743864,1.32516354,0.640652665,0.355822202,0.637301222,1.928838977,1.107080347,0.279260521,3.835626327,0.134534138,1.558338669,0.561422345,2.577274864,1.87602263,1.458032171,0.688169362,1.907385154,0.239020448,1.805033853,0.375505418,0.47945181,1.390892902,0.709301714,0.549722841,0.621190237,0.426654366,2.042825481,0.372049495,3.447657475
IGLV4-60,0.83190674,1.303126183,1.971973371,0.877738907,0.81484423,0.905678557,1.361639218,2.598005888,0.83267986,2.69514226,0.862681282,1.766254911,1.076492755,1.931137992,4.200828697,0.961296854,1.652007359,1.837454531,6.670514954,1.494081794,1.478009154,1.64526153,1.276983053,1.453601868,1.574896718,1.717039,1.552456818,5.985797402,3.776391872,2.048111736,1.370549267,3.288091501,2.236979728,1.234542835,1.851768904,1.322773682,1.485948743,2.243458043,1.505521996,1.227703864,1.385695894,1.56092325,0.836261463,2.520677578,2.653078122,2.170033924,1.208528909,1.533553232,0.791156636,1.468166855,0.17932425,0.418272181,0.308007589,0.64863762,1.122070584,0.823552598,0.235919431,0.997925363,1.976753393,0.739606461,0.252674124,0.239802195,1.127933002,0.33474826,1.105645724,1.22834211,1.355129312,2.134816332,0.477899055,0.587009774,0.323088598,0.166623331,1.134472529,0.328360507,1.348699235,0.698968152,2.970232654,2.259873312,0.761641723,0.505797636,0.552317429,0.693967099,0.988873934,0.143689133,2.921981981,0.646990529,0.447702077,0.232067336,0.438718192,0.632991144,1.537236927,0.775506906,0.284312251,1.624875101,1.059711958,0.709661289,0.55027394,0.230374685,0.794917492,0.290610812,1.862200564,1.913888556,0.420197911,0.590342193,0.16149726,0.786484291,0.43285189,1.381388394,1.258864401,1.516940071,1.091793639,0.995693811,0.261208534,1.973941509,0.718192273,1.257165197,0.181580991,2.184504277,3.707706928,1.079522304,0.647850367,0.585626306,0.608366595,0.580032579,1.075462059,0.454169575,3.702137733,0.377470032,0.394482215,2.86150121,0.098528295,0.721280774,0.559253878,1.883347157,0.701171606,0.777001959,1.122143002,1.330758125,0.445429318,2.25893777,0.252650493,0.283344463,2.101089963,0.352406121,3.751223411,0.598832848,0.922600984,4.008340499,0.318653516,1.008498249
IGLV10-54,1.397704483,1.430969561,1.041301507,1.12779697,0.751810087,0.509931025,0.293619663,0.924397032,0.973931464,2.682470046,0.521612334,1.37417996,1.23098025,1.09386391,3.396767255,0.426432662,1.390866355,0.422272772,2.438507076,0.866987329,1.855745643,2.453725308,1.730591799,2.898349591,0.858019861,0.916211739,1.069330716,4.07651703,2.675508646,0.619399163,1.652498978,0.160729021,1.114523651,0.408600172,2.748171684,0.983096684,0.799795249,4.245057125,1.052817912,0.756016199,1.161891522,1.118178869,0.246512434,4.073927653,0.321863099,2.12995451,0.998778942,0.295718895,1.071778581,0.381624991,0.201102206,0.177316561,0.117058304,0.15132597,0.383688323,0.181719094,0.153508153,0.376249681,0.924132128,0.173118871,1.916026099,NA,0.71317721,0.303764731,1.035172613,0.657199209,1.716702188,2.206541807,0.400377652,0.293870955,0.432993908,0.353316788,0.45482805,0.274553873,0.526926699,0.793448263,2.062716999,2.42451362,0.313196773,0.373214536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.196734685,0.735618345,0.420392738,1.294318006,1.00004174,0.850425035,0.648775474,1.645969456,1.07743483,0.929347526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.563903555,0.485734556,0.406503307,0.606282698,0.074930121,0.360532265,0.14733132,0.476283106,0.219467031,4.670304757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21582831,1.7477629,1.171003879,2.573207565,3.079694846,0.393746776,0.836604973,1.484788135,0.120813314,2.221868782
IGLV5-48,1.605218776,1.810146024,1.730504246,2.135550228,3.295158792,1.484661461,1.101696642,0.803688092,2.167650122,1.680796158,0.908839041,1.022233935,1.255474694,2.559605257,1.473118447,1.446239247,1.517705611,1.164373506,1.13657605,1.083472667,2.010033906,0.666238202,2.802547349,0.832333357,0.491777542,3.316076913,0.833728866,1.096151961,1.928395837,1.315138017,0.575062639,1.307325606,0.944223106,0.875877803,1.937558051,1.888589902,1.087035907,1.544176961,2.33550459,1.32022668,0.564043889,1.210000348,1.425492983,3.002544698,1.596978732,1.432717336,0.43062361,2.37844532,0.72078889,3.448156456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.551276853,NA,0.792195215,0.244203178,0.986765343,0.487808308,0.550577568,1.104089542,1.10598846,1.731747748,0.863802521,1.397069463,1.202030016,0.551755318,1.129270392,2.112210993,0.899982095,2.497621196,1.138300471,0.835692865,0.398866213,0.810432159,0.528190285,0.243654841,0.984803911,0.398711518,0.422669252,0.456019985,0.348291077,0.478389619,1.430427997,0.779079266,0.446713982,1.100252861,0.776573897,0.833750818,0.499614709,2.043458783,0.362673893,1.061702027,3.091181494,5.668972839,0.495604098,1.014833361,0.414961306,0.776728779,0.654878725,2.404289062,0.454524609,0.82106515,0.375041893,0.395470703,0.416728102,2.180599166,0.777685105,0.658727172,0.49423153,0.508589237,0.862590532,0.794359434,1.457514707,2.007671627,4.015728663,1.588633783,0.320386153,0.787879185,1.077010639,1.08572688,0.514128457,3.994389464,NA,1.005416808,0.300739792,1.888580737,0.855497978,1.376027412,1.020684546,2.107833825,1.980888906,2.714165841,0.256989192,0.319424172,1.884182701,0.609472184,1.794794393,0.824907148,0.97741247,1.427468129,0.411633614,2.908231175
IGLV7-46,1.103972925,1.059397353,1.791601745,1.10598091,0.707267708,0.752569907,1.877647289,1.149881909,1.387638076,1.663399177,0.863454099,1.036683202,1.560184252,1.40550334,2.958486113,1.275122137,1.252098699,1.093545178,3.468985731,1.427889415,1.639872515,2.248801501,1.855460249,1.512100028,1.762793345,1.621545317,1.552307215,2.909741128,1.501019238,1.404899789,1.000770019,1.294546828,2.136464654,1.141111435,2.098920109,1.330900757,0.990467189,3.118781246,0.568527133,1.242924919,1.774331131,2.965066162,0.728839753,3.200024017,1.75721874,1.731442334,1.557342981,1.595471005,0.963584597,1.71416328,0.38081731,0.500424738,0.386368882,0.99838618,1.322840713,1.509666552,0.376276522,1.434991999,2.739028117,1.135193891,0.887849566,0.285553285,1.08234929,0.477093207,1.074587851,0.816235638,0.820625301,1.73252836,0.963776036,0.772196844,0.523111122,0.441481358,0.832781091,0.281238997,1.999416364,1.115554625,1.637317393,1.584285236,0.99127414,0.86576992,0.738277545,0.455948919,2.339418266,0.311755415,2.13238201,0.520041756,0.442201853,0.470599338,0.491026683,0.752877398,1.433584079,0.646272495,0.209931134,0.870237241,0.566499277,0.89992367,0.307109337,1.223996024,1.342431974,0.475180142,2.504122746,0.751850832,0.512563615,1.221718005,0.65876928,0.956788129,0.547688821,0.707375383,1.549860726,1.266100356,0.522440545,0.640944333,0.29561146,1.442385031,1.086294406,1.005253405,0.260700782,1.07636445,1.068038414,1.766837837,0.78264728,1.004734642,0.838191069,1.201439401,0.367096606,0.953646379,0.758241466,1.206277746,0.489740709,3.2682595,0.215204842,1.82406877,1.125580411,3.215441752,1.495745768,0.985953852,1.276807665,1.470313609,0.533418603,1.766525229,0.35078339,0.334271928,1.735300065,0.395323972,1.588664734,0.478356004,0.71176223,1.986620153,0.36913259,2.204425626
IGLV5-37,0.603689275,1.064788866,1.26891286,0.885650606,0.899060084,1.757568241,0.973093592,1.174501371,1.1079276,1.449689373,0.662919478,1.216316579,4.777954586,0.806954903,1.498333498,1.309227422,1.465219382,1.774083501,3.546010811,0.689444787,1.686199908,1.595812979,1.885005784,0.53393487,0.445080823,2.195452297,0.732641302,1.050481983,0.468769862,2.367022795,1.442075484,1.136747265,1.198185435,0.826057371,1.925779029,2.549580706,1.924460189,1.871569032,2.07395501,1.957370941,0.741681644,3.61298934,0.655789258,1.322147953,3.14401077,1.539961626,1.164274278,0.976289695,0.667711852,0.652475534,0.847450806,0.254431812,0.525845271,1.353203024,1.993035716,2.000261759,0.568937342,1.481651944,2.473937761,2.709607452,0.492529398,0.376466773,1.112669831,0.485036692,1.077734665,1.385153173,0.598631837,2.017970058,0.837773453,1.176478754,0.961915661,0.669268972,1.175525427,0.302274763,0.654315625,3.048233593,0.875913613,4.37101546,1.54416401,1.483775979,0.924149604,0.435156943,1.322917732,0.327471559,1.426318162,0.452242309,0.611173817,0.624919399,0.736745963,0.562279702,1.184234056,0.832992215,1.234334992,2.034977388,0.734448414,0.683662363,0.44275144,1.560777527,0.586410809,0.474013781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.058354806,0.629558243,0.50937385,0.625112531,1.13645515,0.607702636,0.402964375,1.47451083,0.855906274,1.551226178,0.419540054,0.962590179,0.474163833,0.595785488,0.473248782,0.538516151,NA,0.949481292,0.349893978,4.064988115,0.786078385,3.074470637,1.094628579,3.927003362,2.22323918,2.313257683,1.397031095,1.674807357,1.425348969,2.204641419,0.531620975,0.190938352,0.742673006,0.197704835,1.11926116,0.493034764,0.965674771,0.464448264,0.822861981,2.505718012
IGLV3-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.750676986,1.73393787,2.427424337,1.48379043,3.086557946,1.639600925,2.021700166,1.607647819,4.332777645,2.007807634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.135503382,1.931635673,0.809729127,2.861591628,1.521539404,1.479229848,1.341651552,1.281806792,1.443130295,1.478046149,0.560315185,0.6664939,0.961390421,0.579028082,1.444662222,0.838558065,0.316592731,1.297264154,2.113707676,1.177854858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250320668,0.47096747,3.166973809,2.185170849,1.667767657,0.693974099,1.790126087,3.48210154,0.564244135,0.471491998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.548257918,1.153563222,0.248113681,3.789774469,1.357107814,2.329020291,0.65278611,0.804199332,2.491228511,1.391020016,0.837653299,1.037013621,1.230636487,1.438249619,0.808853178,2.115161453,0.677967096,2.117067705,1.756254767,1.524082868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.786854871,0.635677598,1.94529316,0.859739749,1.831883902,0.653321549,1.528264468,1.747377951,0.436501438,1.821959458
