gene_name,BH-A0E9,AN-A04A,AN-A0AJ,AR-A1AV,A2-A0EX,BH-A18N,AO-A126,A2-A0EY,AR-A1AW,C8-A135,AO-A12B,C8-A134,A2-A0SW,AN-A0AL,AR-A1AP,C8-A130,C8-A12U,C8-A12T,C8-A131,AO-A12F,AN-A0AM,AR-A1AS,AO-A12D,C8-A12V,D8-A142,AO-A12E,A2-A0T3,AR-A0TT,A8-A076,A2-A0YC,A2-A0CM,AO-A0J9,AN-A0FL,AO-A0JM,A7-A0CE,A8-A08Z,AR-A0TV,AO-A0JL,AN-A0FK,A2-A0YD,AR-A0TR,E2-A15A,A7-A13F,BH-A0AV,A2-A0T6,A2-A0YG,E2-A154,AR-A0U4,A2-A0YF,AO-A0JJ,BH-A0BV,AO-A03O,E2-A158,A8-A06Z,A8-A06N,AO-A0JE,BH-A0C1,A2-A0YM,A8-A079,AO-A0J6,A7-A0CJ,AR-A0TX,A8-A09G,AO-A0JC,BH-A0C7,A2-A0EQ,C8-A12Z,BH-A18Q,C8-A12L,BH-A0E1,BH-A0DD,A2-A0D2,C8-A138,A2-A0EV,BH-A0DG,BH-A18U,A2-A0SX
A1BG,0.4246,0.0877,0.0399,0.6202,0.1446,0.2474,0.0935,0.1958,0.2485,0.0653,0.087,0.351,0.0106,0,0.3298,0.5864,0.2707,0.2812,0.1202,0.1913,0.1609,0.0662,0.047,0.2299,0.2869,0.0885,0.6228,0.3274,0.2664,0.4403,0.2798,0.0939,0.0885,0.0956,0.0568,0.3305,0.3372,0.1808,0.0781,0.1357,0.9293,0.2106,0.2785,0.0761,0.4177,0.2127,0.3591,0.0329,0.2453,0.0598,0.3155,0.2224,0.259,0.1026,0.3206,0.2236,0.2251,0.2512,0.2602,0.201,0.2308,0.1937,0.0729,0.251,0.4054,0.1024,0.0394,0.1845,0.1182,0.0534,0.4411,0.097,0.1382,0.2572,0.1366,0.2135,0.0652
A1CF,0.0212,0.0052,0.0665,0.0066,0.0075,0,0.0389,0.1255,0.0282,0.0068,0,0,0.0264,0,0,0.0054,0,0.0078,0,0,0.0155,0,0.0784,0,0.0124,0.0138,0.0389,0.0454,0.0277,0.0056,0.025,0.0163,0.0053,0.0996,0.0473,0.0072,0.0183,0,0.013,0,0.0066,0.003,0,0.0063,0.0064,0.0477,0,0,0.0215,0,0.0077,0.0463,0.0511,0.035,0.0095,0.0807,0.0144,0,0.0206,0,0.0069,0.0186,0.0051,0.0196,0.0281,0.0693,0.0575,0.0512,0.0633,0,0.0399,0.0067,0.0115,0.0189,0.0071,0.0445,0.0326
A2M,876.3053,360.2426,186.117,262.907,382.0301,279.5439,253.1733,201.4924,302.2673,367.1691,135.4081,436.1375,147.9655,271.8756,373.7525,356.3944,149.0262,223.0516,135.5281,1313.7083,467.1998,132.8066,274.1975,269.6317,457.4476,475.9201,354.2399,344.1038,198.9249,302.5446,222.8631,303.5252,118.1814,246.5998,253.3519,594.5945,196.6902,148.5655,138.6495,642.7476,97.4754,341.35865,377.8282,7114.6833,440.0615,273.9387,166.7424,244.1323,504.0952,530.6573,444.1732,216.0103,255.3465,133.6403,91.0085,310.8336,418.9905,109.5348,136.3418,165.6795,165.9505,384.0059,286.398,272.3112,295.9724,213.6801,272.5466,1275.4215,201.6256,401.4768,142.4835,1036.4461,288.5484,263.3448,446.585,227.1186,227.5713
A2ML1,0.484,0.077,1.2794,0.0978,0.0808,0.0395,0.1119,4.2761,0.2336,9.1646,0.1362,56.7153,0.5082,2.4671,0.086,1.5146,0.1702,0.6391,7.4308,2.4018,1.4731,0.3082,3.453,3.4511,0.0884,0.2781,0.0609,0.2091,2.0094,0.0447,26.6605,0.1268,0.1908,0.1336,0.6985,0.0972,0.1229,0.4358,0.1572,0.1233,0.0792,0.41675,0.0097,33.8078,0.0692,0.4663,0.2675,19.4361,0.0649,0.1002,0.0622,1.3049,80.4266,0.0573,0.1791,1.0915,0.1451,142.2896,0.0485,40.741,0.0092,0.333,3.306,1.8325,0.1133,0.4937,0.7051,3.8839,83.14,0.0299,0.0536,0.0723,0.9963,0.0761,0.2194,0.1534,22.3894
A3GALT2,0.2655,0,0.052,0,0.0707,0.2072,0.2088,0.0589,0,0,0,0.2422,0.0413,0.1709,0.3438,0.1019,0.2646,0,0.2349,0.0997,0,0,0,0.2396,0.0773,0.2161,0.0609,0,0.1041,0.2086,0,0,0,0,0.2221,0,0.0573,0,0,0.199,0.3079,0.059,0.1361,0,0.121,0,0,1.3499,0,0,0,0,1.332,0.0365,0.179,0.0583,0,0.9818,0.0969,0.0393,0.1289,0.1165,0.2374,0.3067,0,0,0,0.4007,0,0.1393,0.075,0.2529,0.1621,0.1183,0.0667,0.0596,0.357
A4GALT,14.096,23.0828,11.952,8.9582,28.4826,6.0399,15.2658,9.9018,10.2379,10.8824,25.9328,30.0495,6.435,27.3453,27.6486,18.0931,19.8695,20.2956,13.706,11.9528,18.644,9.6165,6.7608,21.8806,15.3379,21.4383,22.769,9.4325,15.9231,28.2685,8.5686,13.4518,5.0751,24.2293,6.8169,22.185,4.9231,5.437,16.0587,29.3772,3.0201,75.0422,6.323,40.4622,16.0843,6.1572,42.4187,72.1062,5.0435,20.9528,51.7148,69.5461,2.7919,6.288,3.9539,15.2701,17.3212,25.1814,25.9889,27.839,18.3724,9.0297,4.2387,21.8795,18.9259,5.184,5.3998,37.3309,5.4073,34.4121,41.5662,7.6852,15.5367,9.8742,13.0728,11.2237,16.0492
A4GNT,0.1527,0,0.2394,0.3575,0,0.0794,0,0.1016,0,0,0.0391,0.1392,0,0,0,0,0,0,0.1013,0,0.1391,0,0.0705,0,0.0445,0.3728,0.315,0.2103,0.0599,0.06,0.1348,0.0703,0,0,0.5428,0.6256,0.033,0,0,0.1144,0.0354,0,0,0.2736,0.2087,0,0.1076,0.0739,0.029,0.0336,0.1251,0.15,0.1532,0,0,0.067,0.0778,0.1764,0.0557,0.0226,0.0741,0.1674,0.0273,0.1411,0.2126,0.0288,0.0443,0.4609,0.0379,0.04,0,0.1091,0.0311,0.1701,0.0384,0.0343,0.0587
AAAS,27.4405,19.4505,42.1825,62.3465,25.4947,49.4548,37.5156,30.6978,20.1557,14.2466,20.587,18.7614,25.7732,16.3566,36.3065,22.4544,23.3198,32.4201,16.9564,17.1549,26.4785,37.3118,18.6009,18.0328,19.5238,37.4003,28.8855,27.3304,34.115,28.8976,24.2465,26.6164,20.1982,31.977,29.7168,31.6376,23.6997,10.851,47.4426,29.7537,57.8727,36.1378,39.5868,18.8579,31.0586,24.4167,32.4829,16.7637,10.2461,23.8508,33.7859,28.2205,14.5865,38.6552,49.6768,25.4037,34.3215,25.0732,31.7558,14.675,32.7263,23.0874,26.5143,37.9747,25.4718,24.4463,40.6775,32.0349,27.4315,29.2537,36.391,32.2094,32.0006,38.1063,32.8864,33.6473,28.0338
AACS,13.4816,8.7033,4.1849,19.9013,12.5215,13.4385,11.1032,16.089,3.6194,8.5399,20.2724,11.7434,4.6087,23.9541,17.6674,6.1597,12.9777,12.1165,8.0767,4.8873,16.8818,17.2236,12.1919,13.4795,16.5839,16.7269,12.7599,9.0966,18.0234,9.1488,7.3403,5.1099,21.6198,9.2633,9.8453,15.4131,15.2451,1.6511,12.8369,11.5989,21.4037,20.87065,15.5212,4.7801,12.0813,20.9518,10.3313,8.8357,12.0917,9.5451,12.2616,14.2666,14.5994,10.4318,14.0441,12.9962,7.499,7.2212,12.9432,10.815,13.43,6.4886,15.0077,4.2405,11.4088,8.3284,16.6236,14.6041,17.1918,21.392,12.1118,12.4284,6.4678,12.1172,9.4667,8.5287,10.0316
AADAC,0.2081,0,0.8154,0.1169,0,0,0,0.2215,0.083,10.1562,0,0,0.1555,0,0.862,0.0639,0.1244,0,14.1008,1.7188,0,0,0.4227,0,0,0.9212,0,0.0382,0.2611,0.1962,0.1959,2.2426,0,0.0586,0,0,0,0.3046,0.2297,0,0.0386,0.1623,0,0.0373,0.0379,0.0401,0,0.4835,0.2847,0,0,0.2725,0,0,0,1.2056,0,0.0769,0.0304,0,0,1.6791,0,2.0376,0.1325,0.0314,0.1932,0.2512,0.2895,0.0437,0,0.0396,2.3367,0.0371,0.2928,0.1121,0.6713
