Index,AO-A12D,C8-A131,AO-A12B,E2-A10A.notinstudy,BH-A18Q,C8-A130,C8-A138,E2-A154,BH-A0BZ.notinstudy,A8-A09I.notinstudy,C8-A12L,A2-A0EX,AO-A12D.REP2,AN-A04A.REP1,BH-A0AV.REP1,AO-A12D.REP1,AN-A04A,BH-A0AV,A2-A0D0.notinstudy,BH-A0HK.notinstudy,C8-A12T,A8-A06Z,A2-A0D1.notinstudy,A2-A0CM,BH-A18U,A2-A0YI.notinstudy,A2-A0EQ,AR-A0TY.notinstudy,AR-A0U4,BH-A0HP.notinstudy,BH-A0EE.notinstudy,AO-A0J9,BH-A0E0.notinstudy,AR-A1AP,AN-A0FK,AO-A0J6,BH-A18V.notinstudy,A7-A13F,BH-A0E1,A7-A0CE,BH-A0C0.notinstudy,A2-A0YC,AO-A0JC,A8-A08Z,AR-A0TX,D8-A13Y.notinstudy,A8-A076,AO-A126,C8-A12P.notinstudy,BH-A0C1,A2-A0EY,AR-A1AW,AR-A1AV,C8-A135,A2-A0EV,AN-A0AM,D8-A142,AN-A0FL,BH-A0DG,AN-A0AS.notinstudy,AR-A0TV,C8-A12Z,AO-A0JJ,AO-A0JE,A2-A0T2.notinstudy,AN-A0AJ,A7-A0CJ,AO-A12F,A2-A0YL.notinstudy,A2-A0T7.notinstudy,C8-A12Q.notinstudy,A8-A079,E2-A159.notinstudy,A2-A0T3,A2-A0YD,AR-A0TR,AO-A03O,BH-A18R.notinstudy,AO-A12E,A8-A06N,A2-A0T1.notinstudy,A2-A0YG,E2-A150.notinstudy,BH-A18N,A7-A0CD.notinstudy,C8-A12W.notinstudy,AN-A0AL,A2-A0T6,E2-A158,E2-A15A,AO-A0JM,C8-A12V,A8-A08G.notinstudy,A2-A0D2,C8-A12U,AR-A1AS,A8-A09G,C8-A131.REP1,C8-A134,A2-A0YF,BH-A0DD,BH-A0E9,AR-A0TT,AR-A1AQ.notinstudy,AO-A12B.REP1,A2-A0SW,AO-A0JL,BH-A0BV,A2-A0YM,BH-A0C7,A2-A0SX
A1BG,0.685808556,0.848160243,0.601844897,0.479691909,0.90544161,1.331175056,0.598386169,1.156889682,0.943458874,0.693792596,0.748073151,0.85421226,0.680752947,0.54386199,1.661979208,0.59384954,0.516688842,1.984645618,0.623616974,0.992044705,1.010245796,0.369667295,1.231063484,1.020396744,1.129690883,0.246387815,1.056689804,1.008312059,1.261556503,1.346403717,1.061553654,0.794611446,0.317802471,1.006745813,1.235143575,0.620563541,0.726366431,1.081734003,1.638256095,1.264547648,0.75983105,1.202792919,0.719594218,1.099153013,1.394563267,0.340755334,0.603536546,1.047227852,0.472798884,2.08633254,1.645167771,0.867975581,0.246879532,1.21778415,1.034827665,0.844332422,1.164892817,0.908773128,0.875989224,1.303165543,0.631829882,1.07684586,1.318264745,1.335526492,0.919427773,0.685665794,0.755231211,0.959897489,0.712217967,0.530359609,0.669512773,0.91734865,0.467717905,0.941365606,1.277992991,0.439977301,0.855983095,0.651891196,1.262681627,1.202802313,1.115867684,1.340376105,0.876302192,1.253491906,0.511729618,0.293300408,1.099362608,1.109758175,0.582869332,0.779892134,1.06634677,1.569816183,0.534121072,0.926576045,0.970141687,0.986426007,1.067906163,0.799539053,1.125586431,1.209545514,0.630607993,1.678339487,0.673144682,0.549359215,0.559490538,1.273314991,1.178943691,1.881437192,1.876774053,0.927859168,1.538959891
A2M,0.558675905,1.149558845,0.532373261,0.702624558,0.887916754,0.786734756,0.573314343,0.957829365,1.03044587,0.602351203,0.718395534,0.869941447,0.543834141,0.719047646,1.539184185,0.534258563,0.739738078,1.538590155,0.632244084,0.728071661,0.827411991,0.491712061,1.26597082,1.100968728,0.961893889,0.651408169,1.115223523,0.667442686,1.537588577,0.978050694,1.077385801,0.468970248,0.473694822,2.325871981,0.610800872,0.512061323,0.670837785,0.504125754,1.210577607,1.526959219,1.025379368,0.714270454,0.644124655,1.378157927,1.512270022,0.29431659,0.643082345,0.550084822,0.372089614,2.22138612,1.852855484,0.876759236,0.207569971,1.042960523,1.001803348,0.600802806,0.996250808,0.808723798,0.77159063,1.065927631,0.679910391,1.157109029,0.807391742,1.194373567,0.976086403,0.632118155,0.42812752,1.698100206,0.562298345,0.487201773,0.981568551,1.113057421,0.394724479,0.583447185,0.918627499,0.271227549,0.64187652,0.67637852,1.207365327,0.951427632,0.685846123,1.692712408,0.909483898,0.823307022,0.453053201,0.25537215,1.357103547,0.580430207,0.542691478,0.98598102,0.913247758,2.434477321,0.496067285,0.878162116,1.027973106,0.806581781,0.664206688,1.103024553,1.206003193,1.740942391,0.311344247,1.244365209,0.547262454,0.522680252,0.481886881,1.251971226,1.130825342,1.167990422,3.579648763,0.655056767,1.96032739
A2ML1,0.652800454,1.738479086,0.657201116,0.311650212,1.270407427,0.732413826,0.59775755,0.16742642,0.154941368,0.403808879,3.959064481,0.782560595,0.630838992,0.456068444,1.104301657,0.546917717,0.417099567,0.875151553,0.060419748,0.099603262,0.24134818,0.495156086,0.423764409,3.457654644,0.55609161,0.17051331,0.680750659,0.166641324,2.064922891,0.322227253,2.820222419,0.496528984,0.630804926,0.493706166,0.278063571,0.0915191,1.174840646,0.540783667,0.591388945,0.748322673,0.195688937,0.614571369,0.521913049,0.706637515,0.397403964,NA,NA,NA,0.541139265,6.547721042,1.448450361,0.636362043,0.366780466,1.184809237,0.316339354,0.3401104,1.104472501,0.304350068,0.424946174,0.080212287,0.413837572,0.375996962,0.465344263,0.412031723,0.909098139,0.513253169,0.55164996,2.382200149,0.271967101,0.196507962,0.2457152,0.361547002,2.275351897,0.691253569,0.508714558,0.441896985,0.620558179,0.164009342,0.482691184,0.710404962,0.687989695,0.404631867,1.363130413,0.514677933,0.158139733,0.254680188,0.559911426,0.606434415,7.284689335,1.137098258,0.591213161,0.832387138,0.319333286,0.450629982,0.492853165,0.479294544,0.490141385,1.558297898,1.653844207,0.352565433,0.476237724,0.389874479,0.424693489,0.486157314,0.379514721,0.334298746,0.601884861,0.363303235,1.094922851,0.286534552,1.342324316
A4GALT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.424049636,0.011357678,0.263121378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.973514439,0.909678732,0.111888383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.937871255,0.982035559,1.750033247,NA,NA,NA
A6NNC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.745035535,2.235760335,0.232751656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8MTW9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.490782017,0.140573869,1.691726359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AAAS,0.956182281,0.942172165,0.684285385,0.75323824,0.925337494,1.051618127,0.836942501,0.921480957,0.65754342,0.656068994,1.134148289,0.88211513,0.890586182,0.656912766,0.763961896,0.902039831,0.742289765,0.823895404,0.891594615,0.59560172,0.889088631,0.485521454,0.800984499,1.28974822,0.915966205,0.282270407,1.180348632,0.66553732,0.800269055,0.453832406,0.674418615,0.614894671,0.374174737,0.993011569,0.841798197,0.233946951,0.983779773,1.445040931,0.803549735,1.123645545,0.813799637,1.11899992,0.994682449,1.139909226,0.519063329,0.613300877,1.17180925,1.134147634,0.665470318,2.832955301,1.253733857,1.392029985,0.446365027,0.797622367,0.632621629,1.062863271,0.927662481,0.976467258,0.975840647,0.51792063,0.891595244,0.93523208,0.88861852,0.87776455,1.079159446,0.901880402,1.058163556,0.977225167,0.588523395,0.576368589,0.87561421,1.062098578,0.510081186,0.969614484,0.629106381,1.503814397,1.147255285,0.550799769,0.934499677,0.803259397,0.655976778,0.819032511,0.700584853,1.084164968,0.413784673,0.538093322,0.994242542,0.740959919,1.425748987,0.994763151,1.258751302,0.978401966,0.773146145,1.154643147,0.877911431,1.18231517,1.020118882,0.870231573,1.042159395,0.759479219,1.151337361,0.630581475,0.647207993,0.786622422,0.735447747,0.708198223,0.646546274,0.915197671,0.471101303,0.539289687,0.794436935
AACS,1.385751376,1.040208792,0.871221376,0.213510108,0.564978218,0.811835766,1.079314647,0.509562398,0.258782968,0.477422713,1.177156531,0.707331834,1.38796864,0.746441434,0.436397248,1.534658667,0.784744029,0.445822182,0.329525572,0.252496934,0.712120741,0.631354828,0.232485914,0.630252113,0.792575444,0.161898093,1.19913878,0.559797459,0.782225362,0.447541886,0.216876574,0.622973062,0.288105588,1.123506751,0.50479931,0.160103711,0.539973826,1.035035684,0.851867764,0.71190868,0.657459947,0.677880732,0.990389848,0.816098558,0.432116263,0.325382177,1.408751418,1.512354466,0.626737132,2.941125128,1.289466306,0.896646225,0.393732676,0.691992109,0.44666788,0.73479019,0.928796483,1.743301652,0.82545295,0.497083046,0.743851325,0.454633972,0.559875015,0.821997808,0.907511676,0.501815026,1.216498466,0.824363311,0.639905552,0.513985372,1.287876131,0.765306716,0.142127079,0.599741796,0.403743374,1.24311355,0.679389064,0.365308559,1.787218158,0.670655913,0.190447353,1.011050242,0.384559078,0.654749551,0.138569696,0.348017445,1.954647052,0.6015334,0.821728882,1.047835703,0.826646166,0.891351354,0.553576203,0.548789548,0.920982845,1.056888351,0.774336374,0.995638115,0.968964854,0.630249693,0.484112839,0.439477229,0.58079499,0.237286275,0.864907005,0.517407959,0.473328625,0.653865215,0.405564583,0.351935664,0.444475152
AADAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.889532106,0.713133207,0.210127069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AADAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.499068704,1.519609032,0.791629516,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56374347,1.388946281,1.304408384,0.866784904,0.38662868,1.000400068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94565818,3.269320385,1.185915986,1.126761186,0.571641829,1.882348908,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.422085391,0.731546143,0.760637791,0.95626956,2.052414767,0.596389405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357650304,2.178494103,1.323347244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.390783278,1.675722736,0.703871367,NA,NA,NA,NA,NA,NA
