gene_name,C3L-02168-Tumor,C3N-04162-Tumor,C3L-01663-Tumor,C3N-02300-Tumor,C3L-00568-Tumor,C3L-02627-Tumor,C3L-00965-Tumor,C3N-03424-Tumor,C3L-02625-Tumor,C3L-02619-Tumor,C3N-02289-Tumor,C3L-01884-Tumor,C3N-01025-Tumor,C3L-02963-Tumor,C3L-02546-Tumor,C3L-02552-Tumor,C3N-02288-Tumor,C3N-03425-Tumor,C3N-01020-Tumor,C3N-01194-Tumor,C3L-02964-Tumor,C3N-02675-Tumor,C3N-02339-Tumor,C3L-03272-Tumor,C3N-03875-Tumor,C3N-03848-Tumor,C3L-02650-Tumor,C3N-03486-Tumor,C3L-00904-Tumor,C3L-02646-Tumor,C3N-02375-Tumor,C3N-00211-Tumor,C3N-02374-Tumor,C3N-03877-Tumor,C3L-01606-Tumor,C3L-01000-Tumor,C3L-04391-Tumor,C3L-00445-Tumor,C3L-02130-Tumor,C3N-03441-Tumor,C3N-02575-Tumor,C3N-03092-Tumor,C3N-03051-Tumor,C3N-03093-Tumor,C3L-02127-Tumor,C3L-02669-Tumor,C3L-00081-Tumor,C3L-03963-Tumor,C3N-02425-Tumor,C3N-01892-Tumor,C3N-01893-Tumor,C3N-00555-Tumor,C3N-03882-Tumor,C3L-03962-Tumor,C3L-02665-Tumor,C3L-00927-Tumor,C3L-04014-Tumor,C3N-03880-Tumor,C3N-01846-Tumor,C3N-03076-Tumor,C3N-02426-Tumor,C3L-01838-Tumor,C3L-03961-Tumor,C3L-03965-Tumor,C3N-03072-Tumor,C3N-00221-Tumor,C3N-04127-Tumor,C3L-00923-Tumor,C3L-02649-Tumor,C3L-02891-Tumor,C3N-03851-Tumor,C3N-03886-Tumor,C3N-03662-Tumor,C3N-02434-Tumor,C3N-02435-Tumor,C3L-04013-Tumor,C3N-04124-Tumor,C3L-02660-Tumor,C3L-02648-Tumor,C3N-02283-Tumor,C3L-02968-Tumor,C3L-01285-Tumor,C3L-00603-Tumor,C3L-02969-Tumor,C3L-00415-Tumor,C3L-01455-Tumor,C3L-00993-Tumor,C3N-00497-Tumor,C3L-03678-Tumor,C3N-00247-Tumor,C3L-02349-Tumor,C3N-04155-Tumor,C3L-02163-Tumor,C3L-02629-Tumor,C3N-02285-Tumor,C3N-02252-Tumor,C3N-01411-Tumor,C3N-01028-Tumor,C3L-02358-Tumor,C3N-02284-Tumor,C3L-02170-Tumor,C3L-02164-Tumor,C3N-02523-Tumor,C3L-04071-Tumor,C3N-02494-Tumor,C3L-02951-Tumor,C3N-03204-Tumor,C3N-01017-Tumor
A1BG,0.1423,0.161,0.3435,0.2375,0.4447,0.0369,0.1808,0.235,0.203,0.4474,0.2522,0.404,0.1549,0.1006,0.3055,0.1768,0.5575,0.0418,0.6319,0.2288,0.1912,0.4489,0.4501,0.0885,0.0595,0.1758,0.0962,0.1103,0.1674,0.123,0.1231,0.1566,0.3234,0.4994,0.4629,0.289,0.3693,0.1871,0.1322,0.2152,0.4524,0.5741,0.2435,0.3154,0.3174,0.4206,0.1282,0.1081,0.118,0.4374,0.7125,0.1499,0.0,0.3385,0.2827,0.3761,0.5579,0.1531,0.5693,0.1236,0.3471,0.1771,0.2301,0.1422,0.0646,0.2535,0.0913,0.1863,0.273,0.1693,0.4091,0.0974,0.2857,0.1443,0.6021,0.8236,0.089,0.6519,0.1294,0.8481,0.1161,0.2888,0.4946,0.2022,0.0,0.1798,0.1378,0.182,0.1723,0.2074,0.1333,0.0,0.483,0.2996,0.1044,0.5056,0.0562,0.2766,0.2886,0.0651,0.1794,0.1221,0.0569,0.2821,0.0779,0.1229,0.1303,0.1218
A1CF,0.0889,0.1054,0.2766,0.0198,0.1204,0.0692,0.5605,0.0783,0.1041,0.0986,0.0788,0.2776,0.2257,0.0262,0.1272,0.0491,0.0166,0.1916,0.0226,0.0502,0.3273,0.0979,0.0714,0.2947,0.0557,0.1301,0.0343,0.0459,0.0597,0.912,0.0073,0.0913,0.0359,0.2189,0.0964,0.127,0.0769,0.052,0.0451,0.0896,0.0685,0.2005,0.0203,0.0876,0.0721,0.3503,0.1068,0.2071,0.014,0.5464,0.0568,0.0681,0.0343,0.5205,1.5653,0.1044,0.8251,0.0708,0.0494,0.8898,0.0255,0.1537,0.1118,0.0962,0.0269,0.0559,0.0951,0.0846,0.4092,0.141,0.1936,0.4192,0.0264,0.0534,0.0602,0.8623,0.1019,0.0434,0.1001,0.5402,0.0621,0.0902,0.1791,0.1914,0.0655,0.1497,0.1319,0.0596,0.1025,0.1661,0.0555,0.2127,0.1267,0.0881,0.0957,0.0902,0.1561,0.1229,0.0401,0.0542,0.0575,0.0565,0.332,0.1401,0.1493,0.091,0.1861,0.0507
A2M,215.2698,114.0716,755.2674,410.9118,251.3761,367.9807,372.8639,1463.2875,168.6203,334.2096,670.516,215.026,173.9044,320.6922,338.977,780.7423,460.421,138.3256,417.0134,159.5957,338.3436,1246.2525,116.41,201.8813,213.4323,676.8945,437.4918,152.9576,246.4307,437.3686,118.2684,220.5746,180.3904,566.4824,615.6774,786.1065,307.1443,312.3552,351.11,812.2364,101.8918,505.8134,208.5992,220.2636,267.2581,175.5929,113.5006,826.7922,169.4663,434.4241,505.8887,212.6727,91.0548,157.4945,309.8191,106.4202,501.0917,161.3848,263.9196,386.4671,506.6408,464.9462,463.2258,523.5001,176.4427,172.1307,313.4329,926.5474,209.6014,580.4257,226.7174,285.3044,299.8185,125.197,220.4291,116.3078,212.812,1515.4858,384.3383,118.3976,343.9303,92.4643,313.7201,409.0998,165.1287,417.7274,177.1919,541.453,266.1103,356.2036,740.9577,170.7369,148.7243,1006.5525,530.2931,696.7776,143.2238,388.7633,358.5715,88.3325,879.3995,585.7664,194.2887,330.6606,247.6862,248.3613,192.2493,354.9821
A2ML1,44.6447,66.6623,37.0002,34.6999,3.8267,1.8997,5.6584,0.6215,249.5227,372.6019,2.1585,103.9246,104.4511,23.3963,16.3605,0.3359,138.2419,62.0452,26.7158,31.6087,112.9096,367.029,2.1083,113.8907,9.9768,18.229,163.3416,59.4151,120.6524,38.9974,6.6945,49.0864,92.3499,10.4292,83.3028,0.4217,9.9377,5.4849,13.8445,9.7577,70.0211,0.1552,180.8879,0.3173,50.1691,26.2734,33.1284,1.0635,39.1696,8.6226,169.6053,3.4799,30.8039,28.0285,0.3439,1.4213,0.215,16.6417,20.6384,2.2302,3.1723,77.4573,56.5367,13.0805,41.5956,256.3307,22.8644,14.9458,0.2543,2.782,0.1975,0.3085,15.593,6.4051,18.5342,0.8153,51.9378,5.2899,5.702,0.7528,89.1134,0.1479,3.4369,126.2678,133.6901,0.6492,10.3314,1.3077,36.2971,6.3554,50.0456,1.2605,54.5567,0.2364,22.4928,1.8265,62.2832,13.584,12.3842,190.6139,7.8514,0.8037,81.9811,0.6246,5.6874,54.8326,4.3279,10.6223
A3GALT2,0.2086,0.3597,1.4324,0.8665,0.2607,0.3611,0.0,0.1225,0.1831,0.3087,0.8012,0.4737,0.0,0.295,0.0459,0.3686,0.1557,0.5723,0.7763,0.3296,1.4948,1.0026,0.5028,0.4323,0.1743,0.1527,0.3223,1.2939,0.2804,0.2886,0.0,0.1837,0.2528,0.0,1.2337,0.3138,0.5775,1.138,0.047,0.3235,0.1608,0.1448,0.2538,0.411,0.3384,0.1731,0.4177,0.3381,0.5932,1.0258,0.4148,1.2251,0.1288,1.4252,0.2601,0.21,1.8047,1.1302,0.8345,0.4142,0.6386,0.2308,0.075,0.2779,0.1263,0.3498,0.0595,0.1324,3.1302,0.6619,1.454,0.2539,0.2482,0.0,0.2825,2.6676,0.0869,0.5097,0.289,4.2256,0.9723,0.0941,3.1103,0.3594,0.0,0.6487,0.4308,0.2033,0.2886,0.1247,0.4465,0.9982,0.0699,0.4822,1.3064,0.0,0.0733,0.3605,1.3536,0.0,0.2698,0.1061,0.4452,0.5939,0.0,0.1602,0.4366,0.1905
A4GALT,29.5099,42.2946,19.4189,38.5948,12.4177,14.2131,38.3521,55.606,37.9204,36.5167,9.8004,39.9058,91.4404,18.5414,24.8614,30.1633,41.5401,53.0724,18.49,11.762,24.666,13.7197,39.2096,60.4523,58.0471,12.0261,33.2165,26.9494,22.5249,31.7356,49.628,34.9864,38.0763,8.0448,16.1861,12.18,23.5526,62.7757,15.8037,27.5741,29.9267,11.3353,31.7768,8.6901,39.555,19.2958,22.294,28.5344,46.2437,25.5418,22.8751,30.036,57.9754,113.3809,33.4726,12.7342,29.0249,24.9322,21.7786,5.2994,18.3595,59.9082,26.7406,33.0392,44.648,65.422,21.7339,12.1429,3.7494,10.849,2.2812,14.3459,34.7413,63.7807,53.7526,3.5029,60.9421,23.7569,61.9443,2.6934,13.1118,7.909,8.8094,58.0245,22.6271,18.133,7.0545,25.7466,25.5294,13.1257,14.8047,46.5499,45.5716,15.824,32.461,10.58,51.2653,12.651,17.7773,51.3279,18.1779,13.5408,87.3069,18.2732,16.9643,24.2028,31.3048,30.1529
A4GNT,0.4798,0.2585,0.9781,0.3559,0.5997,0.0831,0.271,0.2113,0.3159,0.9467,0.3544,0.2724,0.557,0.0848,0.3169,0.3444,0.3133,0.141,0.2029,0.3791,0.382,0.5766,0.53,0.5966,0.4678,0.5269,0.278,0.0276,0.645,0.5531,0.0791,0.4576,0.63,0.2954,0.0946,0.7218,0.083,1.1686,0.3783,0.6325,5.917,0.4995,0.2919,0.5673,1.1028,1.6917,0.7206,0.5347,0.3032,0.7078,0.2726,0.1838,0.2591,1.9318,0.3739,0.3624,0.2162,0.2294,0.7998,0.1985,0.5508,0.1991,0.6035,0.4395,1.5257,0.2346,0.2737,0.3046,0.8182,0.4187,0.5435,2.0437,1.9266,0.4684,0.1624,0.1587,1.2498,0.1759,0.2078,0.2991,0.2982,0.4868,0.29,0.9919,0.4318,0.0622,0.2787,0.4384,0.2213,0.6812,0.1712,0.3827,0.6032,0.7923,0.3756,0.4465,0.9268,0.1658,0.3459,0.0,0.0931,0.6405,0.128,0.2683,0.035,0.1535,0.1674,0.2739
AAAS,21.6106,29.0725,22.6299,22.7562,20.2008,18.9901,22.061,16.6435,16.5143,22.0665,23.5669,32.1079,18.0934,10.033,13.3577,16.133,24.5744,24.3444,27.4768,14.286,22.9319,25.8575,16.1031,31.081,21.6303,18.7885,15.5179,21.229,13.6346,27.9361,24.5104,16.7459,19.7167,25.0166,20.6473,16.395,20.9495,25.121,18.2028,16.4799,20.668,15.9012,24.9081,21.58,15.3802,18.2204,14.0837,21.7158,12.567,21.1341,19.4951,27.9424,15.73,34.8306,24.89,28.0477,36.2417,19.2366,26.1667,24.8584,23.027,15.3099,19.6613,25.9365,28.0808,22.7833,13.9973,16.4213,23.3714,19.2961,21.1929,36.8915,24.4649,26.4992,27.9562,32.3092,19.9811,21.0902,21.8146,44.9925,18.9375,41.4259,33.8738,19.3345,17.3889,12.6475,24.0665,15.4635,31.0452,14.4385,32.3727,28.9102,44.4057,24.5994,21.5049,21.57,29.1409,18.0678,25.4365,41.6402,11.5123,12.9366,28.2807,22.0238,17.1011,19.227,28.9952,20.5543
AACS,8.4714,13.3112,9.6787,7.9896,11.9071,5.2697,5.8055,6.9125,10.108,19.4184,10.5226,6.9145,4.6722,3.4617,5.3691,3.6086,9.3126,11.1584,17.0421,4.1473,9.5498,11.6336,5.1254,9.2429,9.5734,5.0406,5.5772,9.8694,3.5056,8.6198,3.421,5.3375,8.117,6.7306,8.7185,11.5374,3.8997,12.5831,13.0671,5.0468,5.3632,6.0438,8.2757,5.9983,14.9008,9.5974,6.4259,4.2973,19.2879,13.8269,6.0593,8.8671,16.9053,13.4662,9.1352,10.4187,11.5588,8.7818,11.2247,8.92,8.0033,5.1488,12.0672,6.833,5.1976,13.065,4.7173,6.153,17.8189,6.5735,8.0312,20.2556,7.3132,6.8506,16.1061,13.9752,7.0755,4.7658,5.7886,8.5706,5.3001,6.3295,14.5728,9.5398,9.7925,3.624,11.9874,3.1247,14.3227,6.0012,10.5899,6.5786,20.8441,8.8317,11.0926,7.4241,9.9061,5.5732,14.4705,21.2166,3.3619,3.065,9.8069,4.6916,4.496,7.5055,12.9922,7.3823
AADAC,20.792,9.6945,1.3468,5.3924,0.7082,6.7906,2.363,6.7551,24.6435,1.5479,1.6225,38.1102,2.1631,2.1572,5.9589,2.1371,6.2446,1.9985,2.6543,4.0729,14.3669,4.1899,1.4182,9.1596,6.7386,7.4187,1.6497,8.6811,3.75,3.4368,32.63,18.1888,8.2414,3.478,17.9411,3.895,3.2127,10.955,2.6509,27.7802,229.5284,1.089,8.1929,9.4814,6.5054,0.1085,2.0946,3.7093,3.0161,8.6591,1.2259,4.8747,21.6304,0.3191,9.577,1.4922,95.2622,4.6675,12.0312,0.2596,7.8055,6.0042,5.1216,2.3517,8.3156,46.8438,9.2871,3.9429,0.3568,17.6757,0.1367,0.5569,21.4684,1.7676,4.9576,0.1153,50.4629,3.8339,18.3439,0.2445,3.5349,12.1462,2.8454,1.4417,78.0094,1.2877,12.6587,1.5291,48.2472,2.4623,76.9719,209.4461,6.1811,0.1727,23.2875,12.6545,16.2565,37.2834,3.771,7.9768,3.1113,7.5472,4.1399,6.4083,4.2009,3.8488,15.7382,7.7628
