Protein	Localization
ABCA3	Secretory
ABCB6	Secretory
ABCB9	Secretory
ABCC10	Secretory
ABCD1	Secretory
ABCD4	Secretory
ABHD17B	Secretory
ACP2	Secretory
ADIPOR1	Secretory
ADM	Secretory
AGPS	Secretory
AGTRAP	Secretory
AMFR	Secretory
AP1AR	Secretory
APOL6	Secretory
ARFRP1	Secretory
ARL8A	Secretory
ARL8B	Secretory
ARMCX1	Secretory
ARRDC3	Secretory
ATG9A	Secretory
ATL1	Secretory
ATL2	Secretory
ATP13A2	Secretory
ATP2C1	Secretory
ATP6V0A1	Secretory
ATP6V0A2	Secretory
ATP6V0C	Secretory
ATP6V0D1	Secretory
ATP6V1G1	Secretory
ATP9A	Secretory
ATP9B	Secretory
B3GNT2	Secretory
B3GNT9	Secretory
B4GALT1	Secretory
B4GALT2	Secretory
B4GALT4	Secretory
BASP1	Secretory
BET1L	Secretory
BRI3	Secretory
C16orf45	Secretory
C17orf59	Secretory
C1GALT1	Secretory
C5orf15	Secretory
C6orf47	Secretory
C9orf91	Secretory
CASC4	Secretory
CASD1	Secretory
CCDC126	Secretory
CCDC61	Secretory
CD63	Secretory
CHST11	Secretory
CHST14	Secretory
CHST2	Secretory
CHST3	Secretory
CHSY1	Secretory
CLCN3	Secretory
CLCN5	Secretory
CLCN6	Secretory
CLCN7	Secretory
CLMN	Secretory
CLN3	Secretory
CNST	Secretory
CPD	Secretory
CSF1R	Secretory
CSGALNACT2	Secretory
DAGLB	Secretory
DIRC2	Secretory
DNAJC13	Secretory
DNAJC5	Secretory
DNER	Secretory
DRAM2	Secretory
DSE	Secretory
EBAG9	Secretory
EFCAB14	Secretory
EFCAB4B	Secretory
ELMOD1	Secretory
ENDOD1	Secretory
ENTPD4	Secretory
ENTPD6	Secretory
ENTPD7	Secretory
EPDR1	Secretory
ESYT1	Secretory
EXTL2	Secretory
FAM134A	Secretory
FAM134B	Secretory
FAM174A	Secretory
FAM174B	Secretory
FAM177A1	Secretory
FAM20C	Secretory
FAM219A	Secretory
FAM219B	Secretory
FAM3C	Secretory
FCGRT	Secretory
FKRP	Secretory
FLOT2	Secretory
FRRS1	Secretory
FTH1	Secretory
FTL	Secretory
FURIN	Secretory
FUT8	Secretory
GALNT1	Secretory
GALNT11	Secretory
GALNT2	Secretory
GBA	Secretory
GCNT1	Secretory
GCNT2	Secretory
GINM1	Secretory
GLCE	Secretory
GLG1	Secretory
GLT8D1	Secretory
GOLGA2	Secretory
GOLGA5	Secretory
GOLGB1	Secretory
GOLIM4	Secretory
GOLM1	Secretory
GOSR1	Secretory
GPM6A	Secretory
GPR107	Secretory
GPR108	Secretory
GPR155	Secretory
GPRC5A	Secretory
GRIK2	Secretory
HERC2	Secretory
HERC5	Secretory
HERPUD2	Secretory
HFE	Secretory
HGSNAT	Secretory
HIATL1	Secretory
HS2ST1	Secretory
HS6ST2	Secretory
IGF2R	Secretory
IMPAD1	Secretory
INPP5K	Secretory
ITFG1	Secretory
ITM2B	Secretory
ITM2C	Secretory
JTB	Secretory
KDELR3	Secretory
KIAA0319L	Secretory
KIAA1147	Secretory
KIAA1328	Secretory
KIAA1467	Secretory
KIAA1919	Secretory
KIAA2013	Secretory
LAMP1	Secretory
LAMP2	Secretory
LAMTOR1	Secretory
LAMTOR2	Secretory
LAMTOR3	Secretory
LAMTOR5	Secretory
LDLR	Secretory
LGALS3BP	Secretory
LMBRD1	Secretory
LMBRD2	Secretory
LMTK2	Secretory
LNPEP	Secretory
LOH12CR1	Secretory
LRP10	Secretory
LRP12	Secretory
M6PR	Secretory
MAN1A1	Secretory
MAN1A2	Secretory
MAN1B1	Secretory
MANSC1	Secretory
MAP3K12	Secretory
MBTPS1	Secretory
MCOLN1	Secretory
MCOLN2	Secretory
MEGF9	Secretory
MFAP3	Secretory
MFSD1	Secretory
MFSD12	Secretory
MFSD6	Secretory
MFSD8	Secretory
MGAT1	Secretory
MGAT5	Secretory
MOSPD2	Secretory
MR1	Secretory
MRC2	Secretory
MREG	Secretory
MRPL35	Secretory
MXRA7	Secretory
MYCBP2	Secretory
NBAS	Secretory
NCOA4	Secretory
NDFIP1	Secretory
NDFIP2	Secretory
NDST1	Secretory
NDST2	Secretory
NEURL4	Secretory
NIPA2	Secretory
NPC1	Secretory
NSF	Secretory
OSTM1	Secretory
P2RX4	Secretory
PAQR3	Secretory
PBXIP1	Secretory
PCM1	Secretory
PCSK7	Secretory
PDZD8	Secretory
PEX14	Secretory
PEX16	Secretory
PI4K2A	Secretory
PI4K2B	Secretory
PLD1	Secretory
PMEPA1	Secretory
POMGNT1	Secretory
PSEN2	Secretory
PTTG1IP	Secretory
QSOX2	Secretory
RAB11B	Secretory
RAB11FIP1	Secretory
RAB11FIP2	Secretory
RAB14	Secretory
RAB15	Secretory
RAB1A	Secretory
RAB1B	Secretory
RAB2A	Secretory
RAB2B	Secretory
RAB33B	Secretory
RAB39A	Secretory
RAB39B	Secretory
RAB43	Secretory
RAB4A	Secretory
RAB6A	Secretory
RAB6B	Secretory
RAB7A	Secretory
RAB9A	Secretory
RAB9B	Secretory
REEP2	Secretory
REEP5	Secretory
RER1	Secretory
RHBDD3	Secretory
RINT1	Secretory
RNF13	Secretory
RNF130	Secretory
RNF149	Secretory
RNF167	Secretory
RNF182	Secretory
RNF185	Secretory
RPS26	Secretory
RRAGC	Secretory
RTN1	Secretory
RTN3	Secretory
RTN4	Secretory
SCAMP1	Secretory
SCAMP2	Secretory
SCAMP3	Secretory
SCARB2	Secretory
SCFD2	Secretory
SDPR	Secretory
SERINC1	Secretory
SERINC3	Secretory
SFT2D1	Secretory
SFT2D3	Secretory
SGMS1	Secretory
SGMS2	Secretory
SIDT2	Secretory
SLC10A3	Secretory
SLC12A4	Secretory
SLC12A9	Secretory
SLC15A4	Secretory
SLC17A5	Secretory
SLC18B1	Secretory
SLC2A10	Secretory
SLC2A13	Secretory
SLC2A6	Secretory
SLC2A8	Secretory
SLC30A5	Secretory
SLC30A6	Secretory
SLC30A7	Secretory
SLC35A1	Secretory
SLC35A2	Secretory
SLC35A5	Secretory
SLC35B2	Secretory
SLC35B3	Secretory
SLC35B4	Secretory
SLC35C1	Secretory
SLC35C2	Secretory
SLC35E1	Secretory
SLC35E3	Secretory
SLC35F5	Secretory
SLC35F6	Secretory
SLC36A4	Secretory
SLC38A2	Secretory
SLC38A7	Secretory
SLC38A9	Secretory
SLC39A1	Secretory
SLC41A1	Secretory
SLC41A2	Secretory
SLC45A1	Secretory
SLC46A3	Secretory
SLC9A7	Secretory
SLC9A8	Secretory
SLC9A9	Secretory
SLMAP	Secretory
SNX11	Secretory
SNX13	Secretory
SNX14	Secretory
SNX19	Secretory
